"Index","pIC50"
39,3.93649942547797
204,3.93421026570592
73,3.93015488782701
217,3.92352600583952
69,3.92145987828736
57,3.92061081816963
92,3.90916512719563
283,3.90008159422192
79,3.89604978957753
262,3.89141106461264
81,3.88456963735613
194,3.87065403783536
6,3.86932660267586
218,3.82815359561985
101,3.80249028625287
157,3.79220754356177
113,3.79105047216632
74,3.77866803859969
158,3.76959631159758
122,3.76259205719782
192,3.7600930051253
114,3.75642447460392
121,3.75401781964496
139,3.74643860477472
109,3.74420108836584
68,3.73339075311432
65,3.73287615575076
195,3.71542566675435
89,3.70946975538706
56,3.70339255985213
163,3.69893996979133
301,3.69103988162084
37,3.68243228300534
14,3.6793570782619
234,3.67069705214121
241,3.66613440804534
64,3.66228264252898
38,3.6467583205497
206,3.64522216156925
90,3.63423963707561
154,3.62945030670239
13,3.62041054262178
67,3.6143851470966
106,3.61383313776395
276,3.57917851526768
216,3.57861496180263
102,3.57344087294428
78,3.56355112409843
132,3.55731826240528
138,3.55402590815998
153,3.54432707366332
120,3.53993479480095
53,3.53958096162296
275,3.52893419147807
24,3.52146748786819
94,3.51616925462511
144,3.51149028686673
130,3.48924908312124
305,3.48537487842501
190,3.47610514324303
215,3.45563910385929
45,3.45367702192915
124,3.4461888820428
265,3.41595110788035
123,3.39482522798755
119,3.39170267704912
134,3.39170267704912
77,3.38537367165274
131,3.38537367165274
91,3.38043768219644
129,3.37661476395696
84,3.36843296969929
266,3.36784112223676
70,3.36653377248301
239,3.35555574975618
83,3.34666038651554
76,3.34512239860297
189,3.32246302137375
302,3.31617239420443
155,3.30269769541892
171,3.29760995444562
293,3.28603207108338
176,3.28174242002556
183,3.26776872786645
172,3.20905266757241
75,3.17138299012313
250,3.16680359067863
303,3.16563784177772
184,3.15854732957637
229,3.15826680829413
182,3.14612703382826
175,3.13851340600166
178,3.1324996840049
136,3.1071311276559
287,3.10487254166677
288,3.10441017172016
244,3.09186472571717
9,3.08263810076261
118,3.08212615767527
47,3.07306100713
135,3.0715235358447
168,3.06565992347257
48,3.05431183795188
177,3.03403080497354
243,3.03296580302146
281,3.02372937328641
149,3.0070092097136
133,2.99162041027084
255,2.9905302668657
201,2.97957753701075
256,2.97023182122353
147,2.96902035938091
298,2.96232014793448
117,2.95843011935118
297,2.95262823427735
93,2.94166429946706
143,2.93159316117725
148,2.92897563910863
306,2.92696459047205
10,2.87289632323376
294,2.84808071075074
299,2.84250285267967
267,2.84057799224144
197,2.83929484777036
167,2.82864513177327
226,2.82777051899492
27,2.82771796568085
225,2.80675589731884
137,2.79248479425675
249,2.75235467572716
28,2.74276476930328
300,2.74200966304288
272,2.67913921401561
304,2.66804899594154
268,2.66528773767239
198,2.65106169003201
282,2.65029760455483
277,2.64501611524413
112,2.63370820226933
111,2.63363421925219
254,2.62076083729058
142,2.53059607755839
227,2.52725452800669
200,2.48441498099264
278,2.46501239721944
253,2.46079319609168
228,2.45381117156802
280,2.4424601553514
25,2.4297132472465
141,2.42963749623911
296,2.42421581977376
279,2.39435595131375
199,2.39087797211286
202,2.38182433952903
271,2.32478262766605
286,2.31495240863716
66,2.26097168585695
307,2.22435436256436
165,2.1889253320058
295,2.17016010542351
80,2.15662863262083
100,2.14483787129165
247,2.12227155725495
309,2.10125726940579
310,2.06473666559659
269,2.0449654806804
285,2.02018010108646
99,1.99419317552711
292,1.97991566927415
291,1.95420557678723
248,1.92156154319427
146,1.9057668511291
145,1.90276903682823
26,1.88450256667411
156,1.86545062548138
140,1.84967909663071
270,1.79400846102027
166,1.7444597795258
222,1.63424717087982
221,1.55090128057154
220,1.53058431119574
273,1.51885535854475
219,1.51581940350741
274,1.48682871728224
43,1.39447235973859
44,1.17613961760948
290,0.867547167809757
289,0.790843855843356
