REC _TITLE1 TOTAL INTER INTRA RESTR VDW
220 129878031 -22.625 -17.938 -5.123 0.000 -10.504
221 129878031 -14.072 -8.656 -5.006 0.000 -10.898
222 129878031 -13.321 -8.620 -4.578 0.000 -15.189
223 129878031 -29.550 -22.979 -5.577 0.000 -14.413
224 129878031 -29.831 -27.097 -2.602 0.000 -14.613
225 129878031 -17.124 -10.471 -6.682 0.000 -12.523
226 129878031 -24.691 -18.108 -5.476 0.000 -13.216
227 129878031 -27.892 -23.379 -5.368 0.000 -13.993
228 129878031 -21.991 -17.312 -4.531 0.000 -12.311
229 129878031 -26.724 -20.273 -7.179 0.000 -12.567
230 129878031 -23.295 -21.609 -1.384 0.000 -15.685
231 129878031 -30.118 -26.124 -2.877 0.000 -14.131
232 129878031 -23.613 -20.991 -2.277 0.000 -12.474
233 129878031 -30.327 -25.701 -5.267 0.000 -15.163
234 129878031 -17.887 -14.759 -3.992 0.000 -15.581
235 129878031 -13.630 -9.939 -4.354 0.000 -9.221
236 129878031 -19.201 -14.071 -5.036 0.000 -11.913
237 129878031 -18.750 -14.104 -5.219 0.000 -9.303
238 129878031 -27.720 -21.848 -5.896 0.000 -13.505
239 129878031 -14.845 -8.184 -6.353 0.000 -9.374
240 129878031 -23.561 -21.163 -2.527 0.000 -13.053
241 129878031 -20.304 -16.177 -4.742 0.000 -11.388
242 129878031 -21.587 -19.793 -1.800 0.000 -15.501
243 129878031 -27.425 -22.556 -5.734 0.000 -14.083
244 129878031 -29.882 -25.035 -4.827 0.000 -14.710
245 129878031 -21.613 -14.835 -5.814 0.000 -14.199
246 129878031 -15.905 -11.079 -5.435 0.000 -10.998
247 129878031 -18.881 -11.369 -7.434 0.000 -15.227
248 129878031 -10.862 -6.123 -5.605 0.000 -10.003
249 129878031 -14.233 -8.588 -4.519 0.000 -11.810
250 129878031 -24.504 -20.783 -3.574 0.000 -12.655
251 129878031 -9.371 -5.831 -2.447 0.000 -11.810
252 129878031 -7.207 -4.200 -2.913 0.000 -11.780
253 129878031 -13.669 -11.240 -1.624 0.000 -14.252
254 129878031 -5.371 -2.809 -2.043 0.000 -14.361
255 129878031 -12.196 -10.353 -1.894 0.000 -8.899
256 129878031 -8.089 -7.833 -0.197 0.000 -12.874
257 129878031 -16.714 -17.145 1.529 0.000 -16.340
258 129878031 -16.749 -14.874 -2.474 0.000 -13.963
259 129878031 -15.145 -12.423 -2.699 0.000 -13.002
260 129878031 -15.955 -13.848 -2.043 0.000 -16.899
261 129878031 -11.123 -7.722 -2.392 0.000 -13.161
262 129878031 -9.338 -7.402 -1.969 0.000 -12.627
263 129878031 -13.787 -9.626 -4.224 0.000 -14.481
264 129878031 -17.704 -15.007 -2.687 0.000 -16.809
265 129878031 -7.210 -5.032 -2.803 0.000 -11.955
266 129878031 -14.869 -12.589 -1.873 0.000 -14.139
267 129878031 14.904 11.615 2.466 0.000 5.813
268 129878031 -7.045 -3.938 -3.023 0.000 -10.371
269 129878031 -14.659 -11.073 -3.410 0.000 -8.775
270 129878031 -15.285 -8.925 -5.349 0.000 -11.195
271 129878031 -9.846 -7.257 -2.615 0.000 -10.950
272 129878031 -10.977 -6.827 -3.031 0.000 -10.384
273 129878031 -11.777 -7.464 -4.033 0.000 -12.078
274 129878031 -19.516 -15.235 -3.154 0.000 -15.024
275 129878031 -8.465 -5.006 -4.082 0.000 -11.763
276 129878031 -11.716 -9.530 -2.273 0.000 -13.947
277 129878031 -8.086 -8.327 -0.554 0.000 -12.747
278 129878031 -19.162 -18.611 -0.634 0.000 -17.327
279 129878031 -10.407 -6.666 -3.463 0.000 -11.241
280 129878031 -20.108 -18.553 -0.437 0.000 -15.621
281 129878031 -8.227 -7.614 -0.161 0.000 -11.765
282 129878031 -8.849 -3.721 -4.014 0.000 -13.927
283 129878031 -8.368 -8.008 -0.240 0.000 -16.544
284 129878031 -14.597 -13.241 -2.225 0.000 -6.803
285 129878031 -6.667 -3.896 -2.453 0.000 -10.845
286 129878031 -20.082 -14.405 -4.560 0.000 -14.332
287 129878031 -13.931 -10.447 -3.173 0.000 -14.606
288 129878031 -15.434 -11.680 -2.644 0.000 -13.474
289 129878031 -10.011 -6.351 -3.255 0.000 -10.635
290 129878031 -6.200 -4.890 -2.177 0.013 -10.846
291 129878031 -15.447 -11.948 -2.964 0.000 -11.050
292 129878031 -12.140 -10.895 -1.908 0.000 -15.044
293 129878031 -7.051 -10.684 2.878 0.000 -13.371
294 129878031 -5.528 -4.635 -1.418 0.000 -11.762
295 129878031 -13.333 -10.005 -3.762 0.000 -14.364
296 129878031 -11.808 -8.837 -1.934 0.000 -12.197
297 129878031 -12.765 -10.584 -2.088 0.000 -14.791
298 129878031 -13.437 -10.992 -2.971 0.000 -14.975
299 129878031 -12.710 -9.755 -1.827 0.000 -9.912
300 129878031 -17.512 -14.713 -2.662 0.000 -15.991
301 118707521 -16.061 -14.682 -1.119 0.001 -20.676
302 118707521 -16.014 -15.397 -1.082 0.000 -21.576
303 118707521 -10.833 -10.303 -0.092 0.000 -18.364
304 118707521 -15.207 -12.963 -3.126 0.000 -20.849
305 118707521 -8.912 -6.704 -1.129 0.000 -15.805
306 118707521 -15.205 -14.782 0.603 0.000 -19.960
307 118707521 -10.380 -8.957 -1.482 0.000 -19.357
308 118707521 -6.048 -7.385 0.616 0.000 -17.785
309 118707521 -19.393 -20.762 1.503 0.000 -20.924
310 118707521 -10.484 -7.905 -2.379 0.009 -18.349
311 118707521 -17.694 -16.072 -1.406 0.000 -20.038
312 118707521 -7.920 -14.402 5.417 0.000 -22.215
313 118707521 -14.135 -11.359 -2.602 0.000 -23.258
314 118707521 -8.170 -7.573 -0.513 0.000 -17.196
315 118707521 -11.135 -11.819 0.159 0.000 -20.837
316 118707521 -5.414 -6.557 0.565 0.000 -11.793
317 118707521 -18.552 -19.581 1.568 0.000 -21.192
318 118707521 -15.701 -12.651 -2.794 0.001 -21.293
319 118707521 -10.005 -7.832 -2.922 0.000 -14.155
320 118707521 -8.182 -13.048 5.886 0.000 -21.341
321 118707521 -13.824 -16.007 1.323 0.000 -21.773
322 118707521 -11.299 -9.532 -0.791 0.000 -18.555
323 118707521 -11.576 -11.295 0.668 0.000 -17.119
324 118707521 -16.918 -16.340 -0.037 0.000 -21.125
325 118707521 -8.532 -8.956 0.724 0.000 -21.512
326 118707521 -8.393 -8.835 -0.407 0.000 -21.290
327 118707521 -7.074 -6.702 -0.412 0.000 -20.470
328 118707521 -12.610 -8.022 -4.196 0.000 -15.851
329 118707521 -6.945 -4.695 -2.266 0.000 -9.389
330 118707521 -13.866 -13.663 0.759 0.000 -20.282
331 118707521 -19.468 -17.513 -0.951 0.000 -21.165
332 118707521 -17.411 -17.454 -0.726 0.000 -22.531
333 118707521 -6.348 -8.789 2.442 0.014 -18.621
334 118707521 -10.221 -9.219 -1.807 0.000 -19.102
335 118707521 -19.412 -17.436 -1.535 0.000 -22.353
336 118707521 -8.901 -11.260 1.860 0.006 -18.791
337 118707521 -11.111 -9.277 -1.528 0.000 -17.710
338 118707521 -17.647 -18.922 2.217 0.000 -22.606
339 118707521 -17.817 -15.225 -2.186 0.000 -19.426
340 118707521 -10.402 -11.578 2.168 0.000 -24.181
341 118707521 -18.348 -16.050 -1.859 0.000 -25.462
342 118707521 -7.780 -4.120 -3.565 0.000 -15.988
343 118707521 -17.244 -15.319 -1.919 0.000 -21.303
344 118707521 -15.166 -12.524 -1.651 0.000 -21.939
345 118707521 -10.865 -8.494 -2.195 0.006 -22.407
346 118707521 -18.679 -18.378 0.041 0.000 -22.657
347 118707521 -12.350 -7.344 -4.833 0.116 -18.772
348 118707521 -10.675 -13.921 2.326 0.000 -20.342
349 118707521 -11.703 -12.705 0.954 0.000 -23.765
350 118707521 -13.060 -11.956 -1.735 0.000 -19.370
351 118707521 -14.336 -13.683 -1.841 0.000 -18.571
352 118707521 -7.209 -10.503 3.210 0.000 -18.425
353 118707521 -12.236 -12.603 1.375 0.000 -20.748
354 118707521 -13.830 -11.320 -2.052 0.000 -19.269
355 118707521 -15.023 -8.816 -6.147 0.000 -19.782
356 118707521 -14.845 -13.306 -1.544 0.000 -19.085
357 118707521 -23.944 -28.014 4.084 0.000 -25.002
358 118707521 -12.961 -10.359 -1.557 0.000 -18.012
359 118707521 -7.917 -6.280 -0.614 0.000 -19.192
360 118707521 -14.656 -12.068 -1.934 0.000 -21.253
361 118707521 -16.381 -16.207 -0.074 0.000 -22.487
362 118707521 -10.227 -9.083 -1.888 0.000 -19.483
363 118707521 -16.736 -17.944 1.341 0.000 -21.171
364 118707521 -13.533 -14.963 1.656 0.000 -23.187
365 118707521 -13.899 -10.043 -2.731 0.000 -20.473
366 118707521 -16.362 -14.826 -1.450 0.212 -18.824
367 118707521 -15.580 -12.590 -2.469 0.000 -20.142
368 118707521 -11.769 -10.832 -0.885 0.000 -18.119
369 118707521 -15.141 -12.343 -1.890 0.078 -17.118
370 118707521 -15.521 -12.965 -2.553 0.000 -19.591
371 118707521 -19.474 -15.026 -3.628 0.000 -19.848
372 118707521 -13.952 -14.782 0.048 0.009 -20.460
373 118707521 -14.969 -13.613 -1.262 0.000 -18.032
374 118707521 -10.794 -10.049 -0.600 0.000 -20.468
375 118707521 -10.644 -14.309 2.901 0.000 -20.443
376 118707521 -2.082 -2.901 0.816 0.000 -12.756
377 118707521 -13.072 -10.996 -2.576 0.000 -18.946
378 118707521 -16.217 -17.339 1.084 0.000 -22.407
379 118707521 -9.339 -8.375 -1.765 0.000 -19.908
380 118707521 -3.446 -2.255 -1.131 0.004 -17.029
381 118707521 -12.674 -12.491 -0.677 0.000 -19.294
382 118707521 -14.345 -12.123 -2.268 0.000 -20.377
383 118707521 -14.786 -14.383 -1.022 0.000 -22.767
384 118707521 -14.901 -11.316 -3.375 0.000 -19.639
385 118707521 -13.835 -13.530 -1.163 0.000 -16.912
386 118707521 -18.802 -16.537 -1.655 0.000 -20.942
387 118707521 -10.187 -12.463 2.371 0.000 -19.785
388 118707521 -17.333 -15.243 -1.946 0.000 -20.191
389 118707521 -17.503 -16.297 -1.142 0.000 -20.273
390 118707521 -12.837 -12.773 0.751 0.000 -20.181
391 118707521 -23.746 -28.449 4.731 0.000 -25.041
392 118707521 -8.856 -7.026 -2.674 0.000 -16.419
393 118707521 -8.722 -9.010 -0.393 0.000 -15.275
394 118707521 -14.835 -11.248 -2.492 0.000 -20.263
395 118707521 -20.107 -17.305 -1.915 0.000 -23.270
396 118707521 -13.002 -10.413 -3.358 0.000 -18.786
397 118707521 -17.084 -14.051 -3.087 0.000 -21.832
398 118707521 -10.637 -11.278 1.687 0.000 -16.344
399 118707521 -19.950 -18.641 -2.028 0.000 -25.234
400 118707521 -14.490 -12.589 -1.469 0.000 -19.427
401 118707521 -12.652 -6.725 -5.989 0.000 -20.219
402 118707521 -17.596 -10.343 -6.948 0.000 -21.184
403 118707521 -10.958 -9.732 -1.807 0.000 -20.309
404 118707521 -20.359 -15.263 -4.111 0.000 -22.264
405 118707521 -17.102 -9.254 -7.847 0.000 -19.654
406 118707521 -20.739 -14.435 -5.196 0.000 -22.190
407 118707521 -14.787 -7.528 -6.751 0.000 -15.825
408 118707521 -13.921 -10.797 -2.833 0.000 -18.577
409 118707521 -17.176 -10.290 -7.468 0.000 -19.393
410 118707521 -13.861 -12.251 -2.485 0.000 -23.385
411 118707521 -18.361 -12.910 -4.433 0.000 -19.709
412 118707521 -17.357 -11.955 -4.948 0.000 -22.429
413 118707521 -15.019 -12.407 -3.195 0.000 -22.913
414 118707521 -11.617 -3.729 -6.894 0.000 -14.464
415 118707521 -20.173 -12.751 -6.945 0.000 -23.151
416 118707521 -22.257 -17.312 -4.941 0.000 -20.864
417 118707521 -19.630 -12.239 -6.411 0.000 -20.039
418 118707521 -16.857 -8.824 -7.899 0.000 -17.524
419 118707521 -14.915 -16.290 0.565 0.000 -23.456
420 118707521 -8.492 -6.691 -2.557 0.000 -17.332
421 118707521 -17.403 -9.700 -7.242 0.000 -17.660
422 118707521 -18.007 -17.428 -1.083 0.000 -20.304
423 118707521 -15.515 -12.842 -2.815 0.069 -17.678
424 118707521 -7.037 -5.226 -1.420 0.000 -12.772
425 118707521 -15.616 -17.699 1.380 0.000 -23.296
426 118707521 -14.071 -10.102 -4.627 0.000 -19.213
427 118707521 -17.047 -10.319 -6.719 0.000 -18.028
428 118707521 -11.829 -9.916 -0.932 0.000 -22.034
429 118707521 -20.048 -15.341 -4.653 0.000 -22.205
430 118707521 -11.128 -10.743 -0.400 0.000 -15.478
431 118707521 -18.913 -15.011 -2.911 0.000 -20.139
432 118707521 -13.651 -9.054 -4.306 0.000 -17.470
433 118707521 -11.260 -11.809 -0.249 0.000 -22.006
