,time,rhoeq_xtal
427,854.0,996.379395
428,856.0,996.84436
429,858.0,996.502319
430,860.0,995.797852
431,862.0,994.692383
432,864.0,993.195374
433,866.0,991.670898
434,868.0,990.776367
435,870.0,990.834167
436,872.0,991.960327
437,874.0,993.905151
438,876.0,995.684875
439,878.0,996.570496
440,880.0,996.807373
441,882.0,996.202698
442,884.0,995.224792
443,886.0,993.679077
444,888.0,992.047668
445,890.0,990.956909
446,892.0,990.887329
447,894.0,991.826172
448,896.0,993.298096
449,898.0,994.992004
450,900.0,996.219055
451,902.0,996.7901
452,904.0,996.668884
453,906.0,995.953796
454,908.0,995.088074
455,910.0,993.724243
456,912.0,992.165649
457,914.0,991.215637
458,916.0,991.117615
459,918.0,992.003601
460,920.0,993.416382
461,922.0,994.859619
462,924.0,995.714172
463,926.0,995.914734
464,928.0,995.827515
465,930.0,995.373901
466,932.0,994.364319
467,934.0,992.947998
468,936.0,991.796631
469,938.0,991.508057
470,940.0,992.155396
471,942.0,993.372253
472,944.0,994.691284
473,946.0,995.967346
474,948.0,996.558472
475,950.0,996.330078
476,952.0,995.679688
477,954.0,994.688599
478,956.0,993.333496
479,958.0,992.009277
480,960.0,991.033813
481,962.0,991.119629
482,964.0,992.214783
483,966.0,994.0625
484,968.0,995.916016
485,970.0,997.101135
486,972.0,997.306519
487,974.0,996.492188
488,976.0,995.012756
489,978.0,993.422607
490,980.0,991.939453
491,982.0,990.847534
492,984.0,990.56366
493,986.0,991.247742
494,988.0,992.795105
495,990.0,994.537476
496,992.0,996.183228
497,994.0,997.339905
498,996.0,997.559814
499,998.0,997.131958
500,1000.0,995.889221
501,1002.0,994.382324
502,1004.0,992.665588
503,1006.0,991.175781
504,1008.0,990.382629
505,1010.0,990.645264
506,1012.0,991.975708
507,1014.0,993.976868
508,1016.0,995.925659
509,1018.0,997.282227
510,1020.0,997.760437
511,1022.0,997.689392
512,1024.0,996.804565
513,1026.0,995.351746
514,1028.0,993.917175
515,1030.0,992.356445
516,1032.0,991.08905
517,1034.0,991.163574
518,1036.0,992.190125
519,1038.0,993.744141
520,1040.0,995.478027
521,1042.0,996.498901
522,1044.0,996.757568
523,1046.0,996.526489
524,1048.0,995.561035
525,1050.0,993.997253
526,1052.0,992.527649
527,1054.0,991.591187
528,1056.0,991.383484
529,1058.0,992.032471
530,1060.0,993.354858
531,1062.0,994.806885
532,1064.0,996.163635
533,1066.0,997.01123
534,1068.0,996.96521
535,1070.0,996.13501
536,1072.0,994.953064
537,1074.0,993.769043
538,1076.0,992.569153
539,1078.0,991.915344
540,1080.0,992.015259
541,1082.0,992.61554
542,1084.0,993.850098
543,1086.0,995.280762
544,1088.0,996.301453
545,1090.0,996.620117
546,1092.0,996.122498
547,1094.0,995.241089
548,1096.0,994.053833
549,1098.0,992.920837
550,1100.0,992.309387
551,1102.0,992.268494
552,1104.0,992.891785
553,1106.0,993.712158
554,1108.0,994.531921
555,1110.0,995.432617
556,1112.0,995.915466
557,1114.0,996.014099
558,1116.0,995.80896
559,1118.0,995.188293
560,1120.0,994.2146
561,1122.0,993.184021
562,1124.0,992.780151
563,1126.0,992.842834
564,1128.0,993.477966
565,1130.0,994.123596
566,1132.0,994.681519
567,1134.0,994.993347
568,1136.0,995.054138
569,1138.0,994.835205
570,1140.0,994.458252
571,1142.0,993.805115
572,1144.0,993.269165
573,1146.0,993.081177
574,1148.0,993.310974
575,1150.0,993.718262
576,1152.0,994.330383
577,1154.0,994.974243
578,1156.0,995.200806
579,1158.0,995.088257
580,1160.0,994.773438
581,1162.0,994.536743
582,1164.0,994.175842
583,1166.0,993.703735
584,1168.0,993.190857
585,1170.0,992.933289
586,1172.0,993.197144
587,1174.0,993.448608
588,1176.0,993.7948
589,1178.0,994.008484
590,1180.0,994.159668
591,1182.0,994.287109
592,1184.0,994.380493
593,1186.0,994.578918
594,1188.0,994.325562
595,1190.0,993.72406
596,1192.0,993.311707
597,1194.0,992.996399
598,1196.0,993.065552
599,1198.0,993.604919
600,1200.0,994.250183
601,1202.0,994.509155
602,1204.0,994.692749
603,1206.0,994.904175
604,1208.0,994.745239
605,1210.0,994.177307
606,1212.0,993.481506
607,1214.0,993.064392
608,1216.0,993.020203
609,1218.0,993.390625
610,1220.0,993.938416
611,1222.0,994.279053
612,1224.0,994.482727
613,1226.0,994.522217
614,1228.0,994.539429
615,1230.0,994.646912
616,1232.0,994.665527
617,1234.0,994.411926
618,1236.0,993.595215
619,1238.0,992.971497
620,1240.0,992.859985
621,1242.0,993.350952
622,1244.0,994.136658
623,1246.0,994.951111
624,1248.0,995.381409
625,1250.0,995.531799
626,1252.0,995.283691
627,1254.0,994.767639
628,1256.0,994.228577
629,1258.0,993.870789
630,1260.0,993.707092
631,1262.0,993.56604
632,1264.0,993.660828
633,1266.0,994.204529
634,1268.0,994.817322
635,1270.0,994.973694
636,1272.0,994.673218
637,1274.0,994.145142
638,1276.0,993.671265
639,1278.0,993.457764
640,1280.0,993.596741
641,1282.0,993.699585
642,1284.0,994.020996
643,1286.0,994.140991
644,1288.0,994.064758
645,1290.0,994.124939
646,1292.0,994.275269
647,1294.0,994.476196
648,1296.0,994.479248
649,1298.0,994.346741
650,1300.0,994.101624
651,1302.0,993.913818
652,1304.0,994.07428
653,1306.0,994.30188
654,1308.0,994.306519
655,1310.0,994.156189
656,1312.0,993.83429
657,1314.0,993.447021
658,1316.0,993.401062
659,1318.0,993.804871
660,1320.0,994.113159
661,1322.0,994.245667
662,1324.0,994.352478
663,1326.0,994.540344
664,1328.0,994.314758
665,1330.0,993.779663
666,1332.0,993.088074
667,1334.0,992.556824
668,1336.0,992.4552
669,1338.0,992.82959
670,1340.0,993.531921
671,1342.0,994.085632
672,1344.0,994.260559
673,1346.0,994.35791
674,1348.0,994.346069
675,1350.0,994.415161
676,1352.0,994.40509
677,1354.0,994.434692
678,1356.0,994.082886
679,1358.0,993.589783
680,1360.0,993.275024
681,1362.0,993.264404
682,1364.0,993.429688
683,1366.0,993.555969
684,1368.0,993.702637
685,1370.0,993.851624
686,1372.0,994.220764
687,1374.0,994.536438
688,1376.0,994.697388
689,1378.0,994.627197
690,1380.0,994.010132
691,1382.0,993.357788
692,1384.0,992.915527
693,1386.0,992.684814
694,1388.0,992.652405
695,1390.0,992.945557
696,1392.0,993.358154
697,1394.0,993.597534
698,1396.0,993.865784
699,1398.0,994.292419
700,1400.0,994.541443
701,1402.0,994.429138
702,1404.0,994.290344
703,1406.0,993.899536
704,1408.0,993.718994
705,1410.0,993.540405
706,1412.0,993.17334
707,1414.0,993.057251
708,1416.0,993.410034
709,1418.0,994.125305
710,1420.0,994.905334
711,1422.0,995.34552
712,1424.0,995.291321
713,1426.0,995.087341
714,1428.0,994.849915
715,1430.0,994.711182
716,1432.0,994.494202
717,1434.0,994.181335
718,1436.0,993.617615
719,1438.0,993.094177
720,1440.0,992.949707
721,1442.0,993.231628
722,1444.0,993.750183
723,1446.0,994.396301
724,1448.0,995.018127
725,1450.0,995.845459
726,1452.0,996.172791
727,1454.0,995.80896
728,1456.0,995.123352
729,1458.0,994.364197
730,1460.0,993.595398
731,1462.0,992.739685
732,1464.0,992.303467
733,1466.0,992.482666
734,1468.0,993.08844
735,1470.0,994.186829
736,1472.0,995.104919
737,1474.0,995.398376
738,1476.0,995.324951
739,1478.0,995.006958
740,1480.0,994.549194
741,1482.0,993.774597
742,1484.0,992.960632
743,1486.0,992.635132
744,1488.0,992.942444
745,1490.0,993.761108
746,1492.0,994.728577
747,1494.0,995.472229
748,1496.0,995.859436
749,1498.0,995.761841
750,1500.0,995.35791
751,1502.0,995.190125
752,1504.0,995.088074
753,1506.0,994.509277
754,1508.0,993.78949
755,1510.0,993.379578
756,1512.0,993.563293
757,1514.0,993.989624
758,1516.0,994.346558
759,1518.0,994.447937
760,1520.0,994.710571
761,1522.0,995.322144
762,1524.0,995.476013
763,1526.0,995.133728
764,1528.0,994.314758
765,1530.0,993.311707
766,1532.0,992.609741
767,1534.0,992.630737
768,1536.0,993.126099
769,1538.0,993.801941
770,1540.0,994.468933
771,1542.0,994.912231
772,1544.0,994.962402
773,1546.0,994.573181
774,1548.0,994.121887
775,1550.0,993.586914
776,1552.0,993.24823
777,1554.0,993.368896
778,1556.0,993.693665
779,1558.0,994.124756
780,1560.0,994.336731
781,1562.0,994.508667
782,1564.0,994.471802
783,1566.0,994.314819
784,1568.0,994.326477
785,1570.0,994.007629
786,1572.0,993.414307
787,1574.0,993.116516
788,1576.0,993.231018
789,1578.0,993.803162
790,1580.0,994.586121
791,1582.0,994.97052
792,1584.0,994.615723
793,1586.0,994.273499
794,1588.0,993.827087
795,1590.0,993.32196
796,1592.0,992.817749
797,1594.0,992.464111
798,1596.0,992.559753
799,1598.0,993.18219
800,1600.0,993.968262
801,1602.0,994.813782
802,1604.0,995.276306
803,1606.0,995.430054
804,1608.0,995.14801
805,1610.0,994.556702
806,1612.0,993.632629
807,1614.0,992.930359
808,1616.0,992.522339
809,1618.0,992.643616
810,1620.0,993.139465
811,1622.0,993.660339
812,1624.0,994.443359
813,1626.0,995.258911
814,1628.0,995.809082
815,1630.0,996.089539
816,1632.0,996.040161
817,1634.0,995.801208
818,1636.0,995.348572
819,1638.0,994.852478
820,1640.0,994.265808
821,1642.0,993.731445
822,1644.0,993.108398
823,1646.0,992.987183
824,1648.0,993.278625
825,1650.0,993.692749
826,1652.0,994.322021
827,1654.0,995.450623
828,1656.0,996.473083
829,1658.0,996.792664
830,1660.0,996.514526
831,1662.0,995.292603
832,1664.0,993.812561
833,1666.0,992.593811
834,1668.0,991.709717
835,1670.0,991.544067
836,1672.0,992.111694
837,1674.0,993.214111
838,1676.0,994.693298
839,1678.0,995.913513
840,1680.0,996.672241
841,1682.0,996.953979
842,1684.0,996.34259
843,1686.0,994.959961
844,1688.0,993.618896
845,1690.0,992.607117
846,1692.0,992.235535
847,1694.0,992.434448
848,1696.0,993.145447
849,1698.0,994.018433
850,1700.0,994.880737
851,1702.0,995.745728
852,1704.0,996.184937
853,1706.0,996.004822
854,1708.0,995.128479
855,1710.0,994.131653
856,1712.0,992.890076
857,1714.0,992.09259
858,1716.0,992.003662
859,1718.0,992.648132
860,1720.0,993.427002
861,1722.0,994.195068
862,1724.0,995.113831
863,1726.0,995.728271
864,1728.0,995.56842
865,1730.0,995.026184
866,1732.0,994.586609
867,1734.0,994.160522
868,1736.0,993.689148
869,1738.0,993.377014
870,1740.0,993.310547
871,1742.0,993.605286
872,1744.0,994.070679
873,1746.0,994.41626
874,1748.0,994.550781
875,1750.0,994.566345
876,1752.0,994.654724
877,1754.0,994.638428
878,1756.0,994.676819
879,1758.0,994.361145
880,1760.0,993.595032
881,1762.0,992.805237
882,1764.0,992.493591
883,1766.0,992.578552
884,1768.0,993.029053
885,1770.0,993.590515
886,1772.0,994.132202
887,1774.0,994.705444
888,1776.0,995.195618
889,1778.0,995.774841
890,1780.0,996.013367
891,1782.0,995.572815
892,1784.0,994.532593
893,1786.0,993.335205
894,1788.0,992.221802
895,1790.0,991.541809
896,1792.0,991.308472
897,1794.0,991.523071
898,1796.0,992.226501
899,1798.0,993.435242
900,1800.0,994.97583
901,1802.0,996.37146
902,1804.0,996.906921
903,1806.0,996.335815
904,1808.0,995.079163
905,1810.0,994.099487
906,1812.0,993.406372
907,1814.0,993.050415
908,1816.0,992.885925
909,1818.0,992.924194
910,1820.0,993.345337
911,1822.0,993.884888
912,1824.0,994.249634
913,1826.0,994.416626
914,1828.0,994.390381
915,1830.0,994.28125
916,1832.0,994.321594
917,1834.0,994.60907
918,1836.0,994.713257
919,1838.0,994.504822
920,1840.0,994.200562
921,1842.0,994.147949
922,1844.0,994.119446
923,1846.0,994.019165
924,1848.0,994.019531
925,1850.0,994.185181
926,1852.0,994.481873
927,1854.0,994.649048
928,1856.0,994.540161
929,1858.0,994.387512
930,1860.0,993.971191
931,1862.0,993.37561
932,1864.0,993.011963
933,1866.0,993.074707
934,1868.0,993.359375
935,1870.0,993.918518
936,1872.0,994.444763
937,1874.0,995.029907
938,1876.0,995.702515
939,1878.0,995.934204
940,1880.0,995.519592
941,1882.0,994.721069
942,1884.0,993.89563
