,Time,Number of contacts
762,38100.0,0.0
763,38150.0,0.0
764,38200.0,0.0
765,38250.0,0.0
766,38300.0,0.0
767,38350.0,0.0
768,38400.0,0.0
769,38450.0,0.0
770,38500.0,0.0
771,38550.0,0.0
772,38600.0,0.0
773,38650.0,0.0
774,38700.0,0.0
775,38750.0,0.0
776,38800.0,0.0
777,38850.0,0.0
778,38900.0,0.0
779,38950.0,0.0
780,39000.0,0.0
781,39050.0,0.0
782,39100.0,0.0
783,39150.0,0.0
784,39200.0,0.0
785,39250.0,0.0
786,39300.0,0.0
787,39350.0,0.0
788,39400.0,0.0
789,39450.0,0.0
790,39500.0,0.0
791,39550.0,0.0
792,39600.0,0.0
793,39650.0,0.0
794,39700.0,0.0
795,39750.0,0.0
796,39800.0,0.0
797,39850.0,0.0
798,39900.0,0.0
799,39950.0,0.0
800,40000.0,0.0
801,40050.0,0.0
802,40100.0,0.0
803,40150.0,0.0
804,40200.0,0.0
805,40250.0,0.0
806,40300.0,0.0
807,40350.0,0.0
808,40400.0,0.0
809,40450.0,0.0
810,40500.0,0.0
811,40550.0,0.0
812,40600.0,0.0
813,40650.0,0.0
814,40700.0,0.0
815,40750.0,0.0
816,40800.0,0.0
817,40850.0,0.0
818,40900.0,0.0
819,40950.0,0.0
820,41000.0,0.0
821,41050.0,0.0
822,41100.0,0.0
823,41150.0,0.0
824,41200.0,0.0
825,41250.0,0.0
826,41300.0,0.0
827,41350.0,0.0
828,41400.0,0.0
829,41450.0,0.0
830,41500.0,0.0
831,41550.0,0.0
832,41600.0,0.0
833,41650.0,0.0
834,41700.0,0.0
835,41750.0,0.0
836,41800.0,0.0
837,41850.0,0.0
838,41900.0,0.0
839,41950.0,0.0
840,42000.0,0.0
841,42050.0,0.0
842,42100.0,0.0
843,42150.0,0.0
844,42200.0,0.0
845,42250.0,0.0
846,42300.0,0.0
847,42350.0,0.0
848,42400.0,0.0
849,42450.0,0.0
850,42500.0,0.0
851,42550.0,0.0
852,42600.0,0.0
853,42650.0,0.0
854,42700.0,0.0
855,42750.0,0.0
856,42800.0,0.0
857,42850.0,0.0
858,42900.0,0.0
859,42950.0,0.0
860,43000.0,0.0
861,43050.0,0.0
862,43100.0,0.0
863,43150.0,0.0
864,43200.0,0.0
865,43250.0,0.0
866,43300.0,0.0
867,43350.0,0.0
868,43400.0,0.0
869,43450.0,0.0
870,43500.0,0.0
871,43550.0,0.0
872,43600.0,0.0
873,43650.0,0.0
874,43700.0,0.0
875,43750.0,0.0
876,43800.0,0.0
877,43850.0,0.0
878,43900.0,0.0
879,43950.0,0.0
880,44000.0,0.0
881,44050.0,0.0
882,44100.0,0.0
883,44150.0,0.0
884,44200.0,0.0
885,44250.0,0.0
886,44300.0,0.0
887,44350.0,0.0
888,44400.0,0.0
889,44450.0,0.0
890,44500.0,0.0
891,44550.0,0.0
892,44600.0,0.0
893,44650.0,0.0
894,44700.0,0.0
895,44750.0,0.0
896,44800.0,0.0
897,44850.0,0.0
898,44900.0,0.0
899,44950.0,0.0
900,45000.0,0.0
901,45050.0,0.0
902,45100.0,0.0
903,45150.0,0.0
904,45200.0,0.0
905,45250.0,0.0
906,45300.0,0.0
907,45350.0,0.0
908,45400.0,0.0
909,45450.0,0.0
910,45500.0,0.0
911,45550.0,0.0
912,45600.0,0.0
913,45650.0,0.0
914,45700.0,0.0
915,45750.0,0.0
916,45800.0,0.0
917,45850.0,0.0
918,45900.0,0.0
919,45950.0,0.0
920,46000.0,0.0
921,46050.0,0.0
922,46100.0,0.0
923,46150.0,0.0
924,46200.0,0.0
925,46250.0,0.0
926,46300.0,0.0
927,46350.0,0.0
928,46400.0,0.0
929,46450.0,0.0
930,46500.0,0.0
931,46550.0,0.0
932,46600.0,0.0
933,46650.0,0.0
934,46700.0,0.0
935,46750.0,0.0
936,46800.0,0.0
937,46850.0,0.0
938,46900.0,0.0
939,46950.0,0.0
940,47000.0,0.0
941,47050.0,0.0
942,47100.0,0.0
943,47150.0,0.0
944,47200.0,0.0
945,47250.0,0.0
946,47300.0,0.0
947,47350.0,0.0
948,47400.0,0.0
949,47450.0,0.0
950,47500.0,0.0
951,47550.0,0.0
952,47600.0,0.0
953,47650.0,0.0
954,47700.0,0.0
955,47750.0,0.0
956,47800.0,0.0
957,47850.0,0.0
958,47900.0,0.0
959,47950.0,0.0
960,48000.0,0.0
961,48050.0,0.0
962,48100.0,0.0
963,48150.0,0.0
964,48200.0,0.0
965,48250.0,0.0
966,48300.0,0.0
967,48350.0,0.0
968,48400.0,0.0
969,48450.0,0.0
970,48500.0,0.0
971,48550.0,0.0
972,48600.0,0.0
973,48650.0,0.0
974,48700.0,0.0
975,48750.0,0.0
976,48800.0,0.0
977,48850.0,0.0
978,48900.0,0.0
979,48950.0,0.0
980,49000.0,0.0
981,49050.0,0.0
982,49100.0,0.0
983,49150.0,0.0
984,49200.0,0.0
985,49250.0,0.0
986,49300.0,0.0
987,49350.0,0.0
988,49400.0,0.0
989,49450.0,0.0
990,49500.0,0.0
991,49550.0,0.0
992,49600.0,0.0
993,49650.0,0.0
994,49700.0,0.0
995,49750.0,0.0
996,49800.0,0.0
997,49850.0,0.0
998,49900.0,0.0
999,49950.0,0.0
1000,50000.0,0.0
