,BOND,ANGLE,DIHED,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Interaction entropy
11,8.668621376273222e-13,8.242295734817162e-13,1.2789769243681803e-13,-34.05829999999999,-186.73689999999962,201.31519999999978,-3.837145680000015,-220.7952000000007,197.47805432000052,-23.317145680001076,16.852523937429144
12,9.947598300641403e-14,4.050093593832571e-13,-1.0871303857129533e-12,-36.67640000000015,-193.26910000000672,208.7389,-4.4158996800000025,-229.9455000000183,204.32300031999915,-25.622499680018308,16.803224102455964
13,-1.659117287999834e-12,-0.00010000000047227786,6.963318810448982e-13,-31.322899999999834,-167.05269999999652,179.2414999999997,-4.389189839999998,-198.37570000000716,174.85231015999915,-23.523389840007482,19.76214540521053
14,2.438937940496544e-12,1.6342482922482304e-13,-1.0444978215673473e-12,-32.6253000000001,-185.7203999999978,199.82460000000012,-4.309859520000001,-218.34569999999385,195.5147404799996,-22.83095951999374,19.719651375741847
15,-1.007194327939942e-12,-0.00010000000124676944,4.583000645652646e-13,-34.37979999999987,-198.3922000000051,213.25889999999904,-4.367468160000008,-232.77210000001054,208.89143183999892,-23.880668160011496,19.679900865870636
16,-7.442935157087049e-13,-9.999999976173513e-05,-1.680433570072637e-12,-27.626399999999588,-197.6477999999996,209.47390000000064,-3.828150000000063,-225.27430000000396,205.6457500000007,-19.628550000003386,19.642561001469097
17,7.389644451905042e-13,-9.999999959120487e-05,3.339550858072471e-13,-35.56959999999942,-188.56789999999833,201.39280000000002,-4.484014560000034,-224.13749999998845,196.90878544000032,-27.228714559988475,19.607356040873167
18,5.115907697472721e-13,-1.4281908988778014e-12,-2.5934809855243657e-13,-21.712599999999455,-191.48199999999935,201.20090000000053,-3.1629643200000377,-213.19449999999773,198.03793568000066,-15.156564319997244,19.574055004997145
19,-6.981082378842984e-13,1.2505552149377763e-12,-6.288303211476887e-13,-34.06249999999996,-190.3654999999999,205.1251999999996,-4.094547839999969,-224.42799999999204,201.03065216000098,-23.39734783999242,19.542462483679014
20,-2.5579538487363607e-13,-9.999999895882183e-05,-7.212008767965017e-13,-30.9469999999994,-192.4125999999966,203.9099000000003,-4.289488559999954,-223.35959999998678,199.62041144000045,-23.739188559986545,19.51241168815023
21,-1.2452261444195756e-12,-7.602807272633072e-13,4.973799150320701e-14,-25.938399999999348,-188.90269999999686,200.17829999999935,-4.171059359999991,-214.84099999998924,196.00724063999957,-18.833759359989855,19.483759120540437
22,-8.739675649849232e-13,-9.99999999109491e-05,-5.400124791776761e-13,-29.559199999999873,-191.6839999999981,208.1557999999997,-4.144756320000048,-221.2432999999982,204.0110436799991,-17.23225631999854,19.456380429555278
23,8.08242361927114e-13,0.00010000000052912128,-1.9184653865522705e-13,-34.13699999999987,-197.57049999999822,213.13099999999932,-4.263106319999986,-231.70739999999992,208.86789368000063,-22.839506320000595,19.430167148816118
24,-5.524469770534779e-13,6.039613253960852e-13,4.583000645652646e-13,-32.47809999999967,-181.03480000000098,194.664000000001,-4.3600579200000045,-213.5129999999981,190.30394208000004,-23.209057919997093,19.405024101483086
25,-1.3624656958199921e-12,2.2737367544323206e-13,-1.3926637620897964e-12,-31.693300000000676,-191.0295000000047,204.38499999999942,-4.048888319999999,-222.7228000000151,200.33611167999953,-22.386688320015693,19.380867313910713
26,-9.99999999891088e-05,-8.455458555545192e-13,0.00010000000117571517,-31.21889999999928,-198.60420000000067,210.80520000000038,-4.416783840000011,-229.82310000000479,206.38841615999962,-23.434683840004467,19.357622323886428
27,-4.884981308350689e-13,-9.805489753489383e-13,6.217248937900877e-13,-37.61550000000037,-185.67779999999757,202.3036000000002,-4.296317040000023,-223.29319999999927,198.0072829600001,-25.28591703999912,19.335222796083094
28,9.023892744153272e-13,-0.00010000000018095534,-4.973799150320701e-14,-35.209400000000095,-179.699599999998,194.2543999999991,-4.445808479999943,-214.9089999999963,189.80859151999874,-25.1004084799972,19.313609380881296
29,-0.00010000000006904486,9.999999863197218e-05,2.4868995751603507e-14,-34.322899999999905,-183.84669999999693,197.92190000000033,-4.385623679999976,-218.16960000000125,193.53627632000018,-24.633323680000828,19.292728766625228
