,time,rhoeq_decoy
8112,16224.0,997.187927
8113,16226.0,995.805115
8114,16228.0,993.916077
8115,16230.0,992.152893
8116,16232.0,990.898621
8117,16234.0,990.329346
8118,16236.0,990.711487
8119,16238.0,992.2229
8120,16240.0,994.397949
8121,16242.0,996.679138
8122,16244.0,998.293091
8123,16246.0,998.710693
8124,16248.0,997.652649
8125,16250.0,995.629089
8126,16252.0,993.587158
8127,16254.0,992.050537
8128,16256.0,991.047424
8129,16258.0,990.738525
8130,16260.0,991.313965
8131,16262.0,992.742615
8132,16264.0,994.702026
8133,16266.0,996.337646
8134,16268.0,996.920959
8135,16270.0,996.235657
8136,16272.0,994.947693
8137,16274.0,993.461243
8138,16276.0,992.189331
8139,16278.0,991.157959
8140,16280.0,990.914185
8141,16282.0,991.53363
8142,16284.0,992.923767
8143,16286.0,994.521423
8144,16288.0,995.725159
8145,16290.0,996.343567
8146,16292.0,996.313599
8147,16294.0,995.634216
8148,16296.0,994.294922
8149,16298.0,992.878601
8150,16300.0,991.638184
8151,16302.0,990.93573
8152,16304.0,990.98584
8153,16306.0,991.664429
8154,16308.0,992.845886
8155,16310.0,994.039734
8156,16312.0,995.397705
8157,16314.0,996.123291
8158,16316.0,996.08075
8159,16318.0,995.624939
8160,16320.0,994.894592
8161,16322.0,993.785889
8162,16324.0,992.772461
8163,16326.0,991.990051
8164,16328.0,991.804688
8165,16330.0,992.242493
8166,16332.0,993.112122
8167,16334.0,994.234802
8168,16336.0,995.15033
8169,16338.0,995.569885
8170,16340.0,995.591919
8171,16342.0,995.092468
8172,16344.0,994.228699
8173,16346.0,992.943909
8174,16348.0,991.720764
8175,16350.0,991.119507
8176,16352.0,991.212769
8177,16354.0,992.223816
8178,16356.0,993.695496
8179,16358.0,995.236023
8180,16360.0,996.328247
8181,16362.0,996.864563
8182,16364.0,996.688843
8183,16366.0,995.944275
8184,16368.0,994.865479
8185,16370.0,993.440002
8186,16372.0,992.043457
8187,16374.0,991.11438
8188,16376.0,991.097168
8189,16378.0,991.944275
8190,16380.0,993.243286
8191,16382.0,994.49939
8192,16384.0,995.302307
8193,16386.0,995.604614
8194,16388.0,995.473633
8195,16390.0,995.046326
8196,16392.0,994.368347
8197,16394.0,993.565491
8198,16396.0,992.619446
8199,16398.0,992.347839
8200,16400.0,992.571716
8201,16402.0,993.323975
8202,16404.0,994.291931
8203,16406.0,994.937073
8204,16408.0,995.231506
8205,16410.0,995.512756
8206,16412.0,995.681213
8207,16414.0,995.493286
8208,16416.0,994.755249
8209,16418.0,993.700195
8210,16420.0,992.733276
8211,16422.0,992.518066
8212,16424.0,992.763184
8213,16426.0,993.229309
8214,16428.0,993.956726
8215,16430.0,994.532898
8216,16432.0,994.845215
8217,16434.0,995.112671
8218,16436.0,995.106262
8219,16438.0,994.516418
8220,16440.0,993.784729
8221,16442.0,992.776184
8222,16444.0,992.066467
8223,16446.0,991.807617
8224,16448.0,992.213135
8225,16450.0,993.336426
8226,16452.0,994.496277
8227,16454.0,995.493835
8228,16456.0,996.288147
8229,16458.0,996.816284
8230,16460.0,996.629456
8231,16462.0,995.438538
8232,16464.0,993.796814
8233,16466.0,992.225281
8234,16468.0,991.612732
8235,16470.0,991.959595
8236,16472.0,992.819214
8237,16474.0,993.770142
8238,16476.0,994.763123
8239,16478.0,995.931946
8240,16480.0,996.630859
8241,16482.0,996.592468
8242,16484.0,995.860107
8243,16486.0,994.888672
8244,16488.0,994.162842
8245,16490.0,993.697083
8246,16492.0,993.188049
8247,16494.0,992.72998
8248,16496.0,992.669495
8249,16498.0,992.913513
8250,16500.0,993.667297
8251,16502.0,994.537231
8252,16504.0,995.034729
8253,16506.0,995.203308
8254,16508.0,995.053284
8255,16510.0,994.608582
8256,16512.0,994.072632
8257,16514.0,994.020142
8258,16516.0,993.974976
8259,16518.0,993.719299
8260,16520.0,993.629944
8261,16522.0,993.706848
8262,16524.0,993.7948
8263,16526.0,994.056091
8264,16528.0,994.167969
8265,16530.0,993.846497
8266,16532.0,993.256226
8267,16534.0,993.046326
8268,16536.0,993.284546
8269,16538.0,993.565735
8270,16540.0,993.818909
8271,16542.0,993.646423
8272,16544.0,993.213135
8273,16546.0,993.180969
8274,16548.0,993.978821
8275,16550.0,994.723022
8276,16552.0,995.066223
8277,16554.0,994.965149
8278,16556.0,994.536499
8279,16558.0,994.110474
8280,16560.0,993.900024
8281,16562.0,993.589905
8282,16564.0,993.180969
8283,16566.0,992.747009
