,Enthalpy (dH),Interaction entropy (-TdS),Total free energy (dG)
226,-50.12567207999486,22.00322112048568,-28.122450959509177
227,-50.553423759994786,22.000513779285892,-28.552909980708893
228,-50.92790072000875,21.99781828644436,-28.93008243356439
229,-47.29769055998496,21.99513453870692,-25.302556021278036
230,-44.11620592000796,21.9924624341633,-22.123743485844656
231,-41.80421328001913,21.98980187222388,-19.814411407795248
232,-43.13354824000277,21.98715275359697,-21.146395486405797
233,-48.42376727999263,21.9845149802666,-26.439252299726032
234,-48.27971879998836,21.981888455470745,-26.297830344517614
235,-50.03966031999991,21.979273083680003,-28.060387236319908
236,-40.479633920001206,21.976668770576797,-18.50296514942441
237,-43.4553596000044,21.97407542303491,-21.48128417696949
238,-39.324927679993465,21.97149294909955,-17.353434730893916
239,-46.26663991998841,21.968921257967764,-24.297718662020642
240,-50.033911520002775,21.96636025996927,-28.067551260033504
241,-47.31411592000369,21.96380986654772,-25.350306053455967
242,-42.79809768000091,21.961269990242315,-20.836827689758593
243,-41.13253688000047,21.958740544669805,-19.173796335330668
244,-38.038418239992154,21.956221444506863,-16.08219679548529
245,-39.59803943999515,21.95371260547281,-17.64432683452234
246,-37.96721776000112,21.951213945874468,-16.016003814126652
247,-37.53040840000102,21.948725380682486,-15.581683019318536
248,-40.76371656000249,21.983303911823427,-18.780412648179066
249,-40.67834423999781,21.98083546611076,-18.69750877388705
250,-34.26373232002133,35.24760487800986,0.9838725579885264
251,-43.81382127999788,35.24515589312834,-8.56866538686954
252,-36.18424775999543,38.18444017661401,2.0001924166185816
253,-41.80335888000219,38.18201051219842,-3.621348367803776
254,-44.36083864000143,38.179590615986754,-6.181248024014678
255,-38.94344112000073,38.17717997055137,-0.7662611494493561
256,-44.44138079999561,38.17477872333388,-6.266602076661734
257,-46.69259327999242,38.17238681057395,-8.520206469418476
258,-39.35925880000025,38.17161788452992,-1.1876409154703254
259,-38.22857343999134,38.16948509164079,-0.059088348350549325
260,-38.34191480001236,38.16712071587289,-0.17479408413947084
261,-48.58417303999438,38.164765381716734,-10.419407658277649
262,-39.942491439978795,38.16241902028387,-1.7800724196949247
263,-40.203752159999425,38.160081563473106,-2.0436705965263187
264,-45.460738559995164,38.15775294394607,-7.302985616049092
265,-40.49722999999898,38.15543313189163,-2.3417968681073518
266,-39.70508056000476,38.153362574567005,-1.5517179854377545
267,-39.065563359992666,38.151060070460325,-0.9145032895323411
268,-44.02208455999681,38.148766141807776,-5.8733184181890365
269,-38.43092504001157,38.1495137419453,-0.2814112980662742
270,-46.46387071999756,38.147236773987004,-8.316633946010555
271,-35.00910328001163,38.14718283946011,3.138079559448478
272,-37.65182311999666,38.14492258486803,0.4930994648713636
273,-48.49382839999922,38.142670592848226,-10.35115780715099
274,-51.001552879988395,38.14042680482482,-12.861126075163575
275,-49.71692447999189,38.13819116124047,-11.578733318751418
276,-45.20009936000014,38.135963603184024,-7.064135756816114
277,-50.93690495999776,38.13374407238123,-12.803160887616528
278,-48.503778400001025,38.13153251118554,-10.372245888815485
279,-38.67751863999793,38.12932886256935,-0.5481897774285756
280,-40.68914743999949,38.127133070114475,-2.562014369885013
281,-35.86208224000035,38.12494507800446,2.2628628380041107
282,-40.57749967999696,38.12276483101546,-2.454734848981502
283,-44.36345007999904,38.12059227450801,-6.2428578054910275
284,-45.27419511998974,38.1184273544188,-7.155767765570943
285,-39.590516960003086,38.11627001725261,-1.4742469427504759
286,-43.24465200000773,38.114120210074404,-5.130531789933329
287,-36.9617671999941,38.11197788050148,1.150210680507378
