,BOND,ANGLE,DIHED,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Interaction entropy
30,-1.4495071809506044e-12,3.907985046680551e-14,1.0658141036401503e-14,-29.848400000000048,-58.85580000000307,71.86119999999886,-3.5555457599999665,-88.70419999999717,68.30565423999873,-20.398545759998214,-0.353045993234048
31,5.1514348342607263e-14,7.815970093361102e-14,-0.00010000000175836021,-30.159000000000123,-67.10160000000164,79.73689999999964,-3.8484100799999688,-97.26069999998955,75.88848992000064,-21.37221007998983,-0.3726006202941695
32,6.288303211476887e-13,-1.0693668173189508e-12,0.00010000000007437393,-33.74299999999941,-58.04080000000515,77.50859999999878,-3.9593426399999485,-91.78360000001653,73.54925735999821,-18.234342640017648,-0.3915206711438673
33,2.9665159217984183e-13,9.999999980081498e-05,3.588240815588506e-13,-27.29299999999956,-78.40460000000311,81.50709999999962,-3.9826000800000463,-105.69759999999121,77.52449991999896,-28.173100079991634,-0.4099076822722451
34,-1.1013412404281553e-13,4.973799150320701e-13,1.0693668173189508e-12,-30.01189999999952,-61.63430000000056,69.20689999999931,-3.702608640000004,-91.64619999998479,65.50429135999886,-26.141908639985484,-0.4276459183329616
35,1.298516849601583e-12,-1.0729195309977513e-12,0.00010000000049359414,-30.946799999999516,-54.927000000001236,68.748,-3.4658481600000304,-85.87369999999439,65.28215184000032,-20.591548159994296,0.23081325598994132
36,0.0,-5.258016244624741e-13,6.075140390748857e-13,-28.97990000000025,-66.81860000000512,72.86280000000059,-3.776425920000018,-95.79839999999801,69.08637408000064,-26.712025919997384,0.213937761488597
37,-1.0302869668521453e-12,-8.810729923425242e-13,-2.4158453015843406e-13,-31.06430000000004,-62.702899999999765,73.84620000000056,-3.8082016799999847,-93.76720000000081,70.03799832000064,-23.729201680000177,0.19751425823418062
38,9.999999972620799e-05,-2.7711166694643907e-13,4.973799150320701e-13,-27.33460000000087,-37.59399999999689,59.87459999999928,-3.8641262399999725,-64.9285000000017,56.010473759999996,-8.918026240002394,20.62808331927452
39,7.283063041541027e-13,1.1368683772161603e-12,9.999999932830406e-05,-31.363300000000226,-37.56240000000207,55.383499999999785,-3.846365280000005,-68.92559999999656,51.53713471999915,-17.38846527999684,20.612924112263823
40,-1.0302869668521453e-12,0.00010000000048648872,-1.2434497875801753e-12,-30.17629999999966,-61.02220000000618,70.64450000000096,-4.051514160000033,-91.19840000001089,66.59298584000109,-24.60541416001002,20.597715459768867
41,-6.750155989720952e-13,0.00010000000009924292,1.5631940186722204e-13,-28.290999999999883,-53.679999999994834,63.123800000000095,-3.409575119999973,-81.97089999999565,59.714224880001545,-22.25667511999547,20.582873316735306
42,7.638334409421077e-14,-5.613287612504791e-13,-0.00010000000130361286,-25.361599999999882,-76.15170000000327,81.33689999999874,-3.3665378400000163,-101.51340000001082,77.97036215999799,-23.543037840012158,20.568380433212532
43,-9.999999983101304e-05,-9.983125437429408e-13,0.00010000000068544068,-24.992899999999807,-49.96800000000029,59.919900000000524,-3.4695064800000193,-74.9608999999894,56.45039352000147,-18.51050647998889,20.55422077348407
44,-3.021582983819826e-12,6.465938895416912e-13,-3.197442310920451e-14,-32.08579999999972,-49.02219999999717,64.19079999999897,-4.006837440000045,-81.10789999999609,60.18396255999978,-20.923937439997164,20.540379311631863
45,5.471179065352771e-13,-4.973799150320701e-14,6.998845947236987e-13,-31.568599999999606,-54.572799999997926,67.74850000000038,-3.7738267200000415,-86.14150000000072,63.97467328000033,-22.16682672000039,20.526842082499815
46,-6.696865284538944e-13,2.4868995751603507e-13,1.1333156635373598e-12,-32.09449999999995,-60.000099999994724,69.09510000000085,-3.3531422400000457,-92.09460000000928,65.74195776000082,-26.35264224000847,20.513595999263632
47,-2.4087398742267396e-12,9.947598300641403e-14,8.029132914089132e-13,-29.757400000000114,-62.22000000000131,69.06890000000128,-3.788375040000015,-91.9774999999967,65.28052496000069,-26.696975039995433,20.50062880176065
48,-1.6342482922482304e-13,-5.613287612504791e-13,-9.592326932761353e-13,-34.90580000000026,-65.08150000000198,75.62240000000048,-3.795603840000058,-99.98720000000387,71.82679616000082,-28.160403840003386,20.48792898829975
49,-6.288303211476887e-13,9.450218385609332e-13,-2.2737367544323206e-13,-31.040199999999707,-56.97780000000084,66.76460000000012,-3.8448316800000057,-88.01800000000227,62.91976832000147,-25.098231680002172,20.47548575435985
50,-1.2860823517257813e-12,-8.881784197001252e-14,8.242295734817162e-13,-36.87019999999984,-56.69650000000099,71.93880000000006,-4.399981199999959,-93.56669999999984,67.53881879999948,-26.027881199999744,20.463288937359117
51,3.3590907833058736e-12,8.917311333789257e-13,-4.440892098500626e-13,-38.15719999999958,-67.51689999999583,75.91700000000145,-4.212378719999954,-105.6740999999911,71.7046212800019,-33.969478719989596,20.45132896678747
