,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
94,184.csv : ,1,-8.54,-8.03,34,47
275,347.csv : ,1,-8.55,-8.27,5,12
396,456.csv : ,1,-8.56,-7.86,15,50
169,251.csv : ,1,-8.57,-8.39,10,37
175,257.csv : ,1,-8.58,-7.89,10,42
420,59.csv : ,1,-8.58,-8.26,39,11
74,166.csv : ,1,-8.59,-8.26,25,17
445,81.csv : ,1,-8.59,-8.48,39,18
181,262.csv : ,1,-8.59,-8.36,45,42
105,194.csv : ,1,-8.60,-8.29,46,44
222,3.csv : ,1,-8.61,-7.74,17,44
115,202.csv : ,1,-8.61,-8.14,33,47
107,196.csv : ,1,-8.61,-7.94,35,33
440,77.csv : ,1,-8.63,-8.63,1,3
365,428.csv : ,1,-8.63,-8.30,35,37
264,337.csv : ,1,-8.68,-8.38,22,48
257,330.csv : ,1,-8.68,-8.54,19,5
196,276.csv : ,1,-8.68,645269.43,26,40
335,400.csv : ,1,-8.69,-8.37,21,41
117,204.csv : ,1,-8.70,-8.50,8,42
388,449.csv : ,1,-8.71,-8.42,28,50
382,443.csv : ,1,-8.71,-7.92,10,29
433,70.csv : ,1,-8.73,-8.35,36,10
387,448.csv : ,1,-8.74,-8.08,25,50
168,250.csv : ,1,-8.74,-8.25,20,45
108,197.csv : ,1,-8.74,-8.04,32,41
401,460.csv : ,1,-8.74,-8.47,5,5
195,275.csv : ,1,-8.75,-8.39,20,22
69,161.csv : ,1,-8.75,-8.46,14,26
385,446.csv : ,1,-8.76,-8.53,10,12
366,429.csv : ,1,-8.77,-8.63,34,6
204,283.csv : ,1,-8.77,-7.58,17,31
391,451.csv : ,1,-8.77,-7.93,15,32
333,4.csv : ,1,-8.77,-7.97,17,5
379,440.csv : ,1,-8.78,-8.15,18,11
434,71.csv : ,1,-8.78,-8.30,23,21
18,115.csv : ,1,-8.78,-8.11,23,6
194,274.csv : ,1,-8.79,-8.37,14,9
451,87.csv : ,1,-8.79,-8.24,7,8
190,270.csv : ,1,-8.80,-8.26,26,3
285,356.csv : ,1,-8.80,-8.19,35,29
392,452.csv : ,1,-8.82,-8.61,23,20
340,405.csv : ,1,-8.82,-7.71,9,15
