SMILES,TotalEnergy,ElectronicEnergy,CoreRepulsion,FinalHeat,IonisationPotential,HomoEnergy,LumoEnergy,DipolPointCharge,DipolHybrid,DipolSum,ElectronNuclear,ElectronElectron,ResonanceEnergy,ExchangeEnergy,ElectronElectronRepulsion,ElectronNuclearAttraction,NuclearNuclearRepulsion,TotalElectrostaticInteraction,PrincipalMomentsInertiaA,PrincipalMomentsInertiaB,PrincipalMomentsInertiaC,CosmoArea,CosmoVolume,NumberFilledLevels,MullikenElectronegativity,AbsoluteHardness:,AbsoluteSoftness:,SchuurmannMOShiftAlpha,TotalElectrophilicDelocalizability,TotalNucleophilicDelocalizability,TotalSelfPolarizability,HomoLumoGap,HomoLumoFraction,Electrophilicity,PolarizabilityAnisotropy
CN1C(=NC(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1)C1=CN(N=N1)[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-6190.0,-52800.0,46600.0,-122.0,8.7,-8.7,-0.729,3.63,0.526,3.35,-9190.0,3870.0,-875.0,-362.0,45800.0,-92000.0,46600.0,370.0,3700.0,20200.0,23100.0,452.0,529.0,91.0,4.71,3.99,0.125,-4.71,-14.9,-15.4,-6.39,7.97,1.18,2.79,0.00978
CN1C(=NC(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1)C1=CN(N=N1)[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-6190.0,-52700.0,46500.0,-122.0,8.9,-8.9,-0.977,0.666,0.964,1.34,-9190.0,3860.0,-875.0,-362.0,45700.0,-91700.0,46500.0,370.0,3650.0,21000.0,23200.0,455.0,529.0,91.0,4.94,3.96,0.126,-4.94,-15.1,-15.2,-6.37,7.93,1.25,3.08,0.00922
C\C(O)=N/[C@@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19200.0,16000.0,-276.0,10.1,-10.1,0.642,2.06,0.931,2.43,-4850.0,2090.0,-377.0,-156.0,15600.0,-31500.0,16000.0,155.0,805.0,2200.0,2330.0,224.0,247.0,44.0,4.75,5.39,0.0928,-4.75,-7.05,-5.28,-2.4,10.8,0.881,2.09,0.00176
CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19400.0,16200.0,-275.0,9.96,-9.97,0.846,4.88,1.32,4.74,-4850.0,2090.0,-380.0,-156.0,15800.0,-31800.0,16200.0,157.0,1030.0,1820.0,2160.0,224.0,245.0,44.0,4.56,5.41,0.0925,-4.56,-6.85,-5.53,-2.36,10.8,0.843,1.92,5.34E-4
N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4280.0,-27100.0,22900.0,-380.0,10.1,-10.1,0.419,3.22,1.04,4.03,-6630.0,2820.0,-471.0,-193.0,22300.0,-45000.0,22900.0,200.0,2410.0,4450.0,4810.0,298.0,349.0,57.0,4.82,5.24,0.0955,-4.82,-9.1,-7.65,-3.16,10.5,0.92,2.22,0.00228
N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4280.0,-27200.0,22900.0,-379.0,9.42,-9.42,0.34,3.82,1.38,4.77,-6630.0,2820.0,-471.0,-193.0,22400.0,-45100.0,22900.0,200.0,2020.0,4990.0,5150.0,302.0,347.0,57.0,4.54,4.88,0.102,-4.54,-8.92,-7.9,-3.18,9.76,0.93,2.11,6.99E-4
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4840.0,-33900.0,29100.0,-431.0,9.68,-9.68,0.238,4.18,0.911,3.69,-7500.0,3200.0,-545.0,-224.0,28500.0,-57300.0,29100.0,228.0,3620.0,4450.0,5760.0,330.0,390.0,65.0,4.72,4.96,0.101,-4.72,-10.2,-9.12,-3.68,9.92,0.952,2.25,3.63E-4
C\C(O)=N/[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4840.0,-33900.0,29100.0,-419.0,10.0,-10.0,0.139,4.22,1.11,4.53,-7500.0,3200.0,-541.0,-222.0,28500.0,-57300.0,29100.0,227.0,3270.0,4760.0,6040.0,329.0,394.0,65.0,4.93,5.07,0.0987,-4.93,-10.5,-8.81,-3.71,10.1,0.973,2.4,1.7E-4
CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-26000.0,21800.0,-401.0,9.77,-9.77,-0.78,3.13,1.05,3.54,-6470.0,2730.0,-476.0,-170.0,21400.0,-43000.0,21800.0,194.0,1120.0,5270.0,5600.0,272.0,301.0,55.0,5.27,4.49,0.111,-5.27,-9.07,-6.51,-3.03,8.99,1.17,3.09,0.00199
CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-26500.0,22300.0,-404.0,10.2,-10.2,-0.557,3.86,0.225,3.77,-6470.0,2730.0,-476.0,-170.0,21900.0,-44000.0,22300.0,194.0,1160.0,4680.0,4880.0,267.0,301.0,55.0,5.38,4.82,0.104,-5.38,-9.07,-6.49,-3.07,9.64,1.12,3.0,0.00217
CC(=O)N[C@H]1[C@H](O)O[C@H](CO[S]([O-])(=O)=O)[C@H](O)[C@@H]1O,-4190.0,-26800.0,22600.0,-323.0,14.4,-10.0,-8.86,2.75,0.993,3.17,-6580.0,2840.0,-428.0,-175.0,22100.0,-44500.0,22600.0,155.0,1030.0,5420.0,5590.0,272.0,306.0,55.0,9.46,0.592,0.845,-9.46,-20.1,-8.75,-3.08,1.18,16.0,75.5,0.0
CC(=O)N[C@H]1[C@H](O)O[C@H](CO[S]([O-])(=O)=O)[C@H](O)[C@@H]1O,-4190.0,-26400.0,22200.0,-316.0,14.3,-9.78,-8.9,3.77,0.731,3.74,-6580.0,2830.0,-428.0,-175.0,21700.0,-43700.0,22200.0,157.0,963.0,6000.0,6430.0,279.0,306.0,55.0,9.34,0.44,1.14,-9.34,-20.5,-9.98,-3.25,0.88,21.2,99.2,0.0
COC[C@H]1O[C@H](OCCC2=CC=CC=C2)[C@H]([NH2+]CCCN)[C@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC[C@H]1O[C@@H](OCCC2=CC=CC=C2)[C@H]([NH2+]CCCN)[C@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC[C@H]1O[C@H](OCCC2=CC=CC=C2)[C@H]([NH2+]CCN)[C@@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC[C@H]1O[C@@H](OCCC2=CC=CC=C2)[C@H](NCCN)[C@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,-5770.0,-58900.0,53100.0,-150.0,8.6,-8.6,-0.711,4.28,1.94,4.91,-8380.0,3580.0,-969.0,-416.0,52400.0,-105000.0,53100.0,410.0,3210.0,15300.0,17300.0,459.0,596.0,94.0,4.65,3.94,0.127,-4.65,-15.8,-14.3,-6.62,7.89,1.18,2.75,0.00275
COC[C@H]1O[C@@H](OCC2=CC=C3C=CC=CC3=C2)[C@H]([NH2+]CCN)[C@@H](OCC2=CC=CC=C2)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC[C@H]1O[C@@H](OCC2=CC=C3C=CC=CC3=C2)[C@H]([NH2+]CCN)[C@@H](OCC2=CC=CC=C2)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC[C@H]1O[C@@H](O)[C@H](N[S]([O-])(=O)=O)[C@@H](O)[C@@H]1O,-3620.0,-21300.0,17700.0,-306.0,12.2,-11.1,-7.47,3.85,1.37,4.59,-5740.0,2490.0,-355.0,-143.0,17200.0,-34800.0,17700.0,121.0,916.0,3080.0,3630.0,232.0,251.0,47.0,9.29,1.82,0.275,-9.29,-14.4,-5.56,-2.49,3.63,5.12,23.8,0.0
OC[C@H]1O[C@H](O)[C@H](N[S]([O-])(=O)=O)[C@@H](O)[C@@H]1O,-3620.0,-21400.0,17800.0,-309.0,12.2,-11.0,-7.33,3.83,1.1,4.2,-5740.0,2490.0,-355.0,-144.0,17300.0,-35000.0,17800.0,121.0,918.0,3070.0,3630.0,229.0,250.0,47.0,9.16,1.82,0.274,-9.16,-14.3,-5.57,-2.52,3.65,5.02,23.0,0.0
C\C(O)=N\[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O[P]([O-])([O-])=O,-4190.0,-26900.0,22700.0,-391.0,10.0,-10.0,-0.7,3.3,1.8,4.3,-6470.0,2730.0,-473.0,-170.0,22300.0,-44800.0,22700.0,195.0,2080.0,2600.0,3980.0,262.0,304.0,55.0,5.35,4.65,0.108,-5.35,-9.27,-6.34,-3.16,9.3,1.15,3.08,7.06E-4
C\C(O)=N/[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O[P]([O-])([O-])=O,-4190.0,-27100.0,22900.0,-393.0,9.98,-9.98,-0.961,1.25,0.706,1.37,-6470.0,2730.0,-474.0,-169.0,22500.0,-45200.0,22900.0,195.0,2150.0,2360.0,3920.0,261.0,301.0,55.0,5.47,4.51,0.111,-5.47,-9.27,-6.36,-3.11,9.02,1.21,3.32,3.02E-4
OC[C@H]1O[C@@H](O)[C@H](\N=C(/O)C(F)(F)F)[C@@H](O)[C@H]1O,-4500.0,-25800.0,21300.0,-415.0,10.8,-10.8,-0.199,4.13,1.86,4.52,-7130.0,3000.0,-383.0,-155.0,20800.0,-41900.0,21300.0,162.0,971.0,4160.0,4640.0,250.0,272.0,53.0,5.49,5.3,0.0944,-5.49,-8.51,-5.85,-2.57,10.6,1.04,2.85,0.0022
OC[C@H]1O[C@@H](O)[C@H](\N=C(/O)C(F)(F)F)[C@@H](O)[C@H]1O,-4500.0,-25800.0,21300.0,-415.0,10.8,-10.8,-0.198,4.14,1.87,4.52,-7130.0,3000.0,-383.0,-155.0,20800.0,-41900.0,21300.0,162.0,970.0,4160.0,4640.0,250.0,272.0,53.0,5.49,5.3,0.0944,-5.49,-8.51,-5.85,-2.58,10.6,1.04,2.85,0.00221
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OC(O)=N,-3760.0,-25400.0,21600.0,-301.0,9.99,-9.99,0.516,5.47,1.83,5.25,-5810.0,2490.0,-446.0,-181.0,21100.0,-42600.0,21600.0,182.0,1520.0,2220.0,3100.0,249.0,285.0,52.0,4.74,5.25,0.0952,-4.74,-8.3,-6.62,-2.83,10.5,0.902,2.14,0.00167
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OC(N)=O,-3760.0,-25000.0,21300.0,-321.0,9.94,-9.94,0.396,3.3,1.26,2.88,-5800.0,2490.0,-451.0,-182.0,20700.0,-41800.0,21300.0,184.0,1470.0,2600.0,3250.0,255.0,287.0,52.0,4.77,5.17,0.0968,-4.77,-8.29,-6.58,-2.82,10.3,0.923,2.2,7.99E-4
C[C@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1\N=C(/C)O)C([O-])=O,-4140.0,-27900.0,23700.0,-332.0,8.55,-10.2,-3.98,2.88,0.885,2.56,-6370.0,2720.0,-494.0,-203.0,23200.0,-46700.0,23700.0,207.0,1890.0,4300.0,5290.0,301.0,345.0,57.0,7.08,3.09,0.162,-7.08,-12.0,-6.25,-3.3,6.18,2.29,8.1,5.2E-4
C[C@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1\N=C(\C)O)C([O-])=O,-4140.0,-28300.0,24100.0,-336.0,8.68,-10.3,-4.05,3.17,1.47,3.7,-6380.0,2730.0,-493.0,-203.0,23600.0,-47600.0,24100.0,206.0,1430.0,4310.0,5330.0,289.0,332.0,57.0,7.16,3.11,0.161,-7.16,-12.1,-6.19,-3.28,6.22,2.3,8.24,0.00161
[NH3+][C@@H]1[C@@H](O)O[C@@H](CO)[C@H](O)[C@H]1O,-2590.0,-14700.0,12200.0,-208.0,7.74,-10.1,-3.5,4.65,1.33,5.54,-4010.0,1730.0,-313.0,-127.0,11800.0,-23800.0,12200.0,131.0,696.0,1020.0,1100.0,184.0,200.0,36.0,6.82,3.32,0.151,-6.82,-7.76,-3.56,-1.92,6.63,2.06,7.01,0.00141
N[C@@H]1[C@H](O)O[C@@H](CO)[C@H](O)[C@H]1O,-2580.0,-14400.0,11800.0,-226.0,9.92,-9.92,1.41,3.97,1.09,4.49,-3980.0,1710.0,-307.0,-126.0,11400.0,-23100.0,11800.0,129.0,748.0,946.0,1180.0,184.0,199.0,36.0,4.26,5.67,0.0883,-4.26,-5.44,-4.35,-1.9,11.3,0.751,1.6,1.02E-4
CN(N=O)C(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3810.0,-24100.0,20300.0,-262.0,10.1,-10.1,-0.576,2.87,0.793,2.26,-5870.0,2490.0,-438.0,-177.0,19800.0,-39900.0,20300.0,184.0,872.0,4230.0,4840.0,259.0,281.0,52.0,5.35,4.77,0.105,-5.35,-8.82,-6.24,-2.87,9.54,1.12,3.0,0.00497
C\[N+](=N\O)C(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3820.0,-24600.0,20800.0,-253.0,8.65,-10.1,-4.4,3.09,0.705,3.44,-5890.0,2500.0,-441.0,-178.0,20300.0,-40800.0,20800.0,186.0,1020.0,3900.0,4470.0,265.0,291.0,52.0,7.23,2.83,0.177,-7.23,-11.4,-5.5,-2.92,5.66,2.56,9.24,0.00138
CC(=O)N[C@H]1[C@H](O)O[C@H](CO[P@@]([O-])(=O)OCC[N+](C)(C)C)[C@H](O)[C@@H]1O,-5170.0,-42100.0,37000.0,-450.0,8.67,-8.67,-0.5,14.4,1.78,15.9,-7820.0,3320.0,-695.0,-264.0,36400.0,-73000.0,37000.0,288.0,2730.0,6610.0,7830.0,343.0,434.0,74.0,4.59,4.09,0.122,-4.59,-11.9,-9.14,-4.16,8.17,1.12,2.57,7.85E-4
CC(=O)N[C@H]1[C@@H](O)O[C@H](CO[P@]([O-])(=O)OCC[N+](C)(C)C)[C@H](O)[C@@H]1O,-5170.0,-41700.0,36600.0,-457.0,8.63,-8.63,-0.399,15.9,0.637,16.4,-7830.0,3330.0,-695.0,-264.0,36000.0,-72200.0,36600.0,288.0,2540.0,7090.0,8690.0,345.0,432.0,74.0,4.52,4.12,0.121,-4.52,-11.7,-9.21,-4.16,8.23,1.1,2.48,0.0012
N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-2580.0,-14100.0,11500.0,-228.0,10.2,-10.2,1.38,2.23,0.982,3.06,-3990.0,1710.0,-307.0,-126.0,11100.0,-22500.0,11500.0,128.0,635.0,1120.0,1570.0,189.0,200.0,36.0,4.39,5.77,0.0867,-4.39,-5.51,-4.27,-1.89,11.5,0.761,1.67,8.35E-4
[NH3+][C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-2590.0,-13700.0,11100.0,-208.0,9.76,-10.1,-5.19,1.37,1.28,2.04,-4000.0,1730.0,-312.0,-127.0,10800.0,-21800.0,11100.0,131.0,762.0,1490.0,2000.0,212.0,217.0,36.0,7.66,2.47,0.202,-7.66,-8.52,-3.67,-1.86,4.94,3.1,11.9,0.397
CCC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3290.0,-20700.0,17400.0,-283.0,9.97,-9.97,0.871,3.63,1.15,2.81,-5050.0,2170.0,-416.0,-172.0,16900.0,-34100.0,17400.0,172.0,836.0,3010.0,3360.0,244.0,267.0,47.0,4.55,5.42,0.0922,-4.55,-7.12,-6.02,-2.58,10.8,0.839,1.91,0.00259
CCC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3290.0,-20700.0,17400.0,-282.0,9.88,-9.88,0.859,5.2,1.24,6.24,-5050.0,2180.0,-415.0,-172.0,17000.0,-34300.0,17400.0,171.0,999.0,2700.0,3100.0,246.0,267.0,47.0,4.51,5.37,0.0932,-4.51,-7.27,-5.86,-2.54,10.7,0.84,1.89,5.79E-4
COC1=CC2=CC=C(O[C@@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]3\N=C(/C)O)C=C2C=C1,-4900.0,-40200.0,35300.0,-262.0,8.6,-8.6,-0.825,5.14,1.56,6.4,-7350.0,3150.0,-693.0,-291.0,34700.0,-69800.0,35300.0,289.0,2120.0,8630.0,9660.0,359.0,428.0,73.0,4.71,3.89,0.129,-4.71,-12.0,-11.1,-4.83,7.78,1.21,2.86,0.0103
COC1=CC2=CC=C(O[C@@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]3\N=C(/C)O)C=C2C=C1,-4900.0,-39900.0,35000.0,-257.0,8.59,-8.59,-0.684,4.75,1.77,5.97,-7350.0,3150.0,-693.0,-291.0,34400.0,-69100.0,35000.0,290.0,2410.0,8830.0,9990.0,368.0,426.0,73.0,4.64,3.95,0.126,-4.64,-12.2,-10.9,-4.82,7.91,1.17,2.72,0.00618
C\C(O)=N\[C@H]1[C@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@H](O)[C@@H]1O,-4190.0,-26000.0,21800.0,-392.0,10.2,-10.2,-0.684,2.23,2.44,3.28,-6470.0,2730.0,-472.0,-169.0,21300.0,-42900.0,21800.0,194.0,1120.0,5470.0,5630.0,272.0,300.0,55.0,5.42,4.74,0.106,-5.42,-9.35,-6.32,-3.15,9.48,1.14,3.1,0.00234
C\C(O)=N\[C@H]1[C@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@H](O)[C@@H]1O,-4190.0,-25700.0,21500.0,-392.0,10.1,-10.1,-0.572,2.09,1.64,1.69,-6480.0,2730.0,-472.0,-169.0,21100.0,-42400.0,21500.0,193.0,983.0,5830.0,6210.0,276.0,302.0,55.0,5.33,4.75,0.105,-5.33,-9.36,-6.33,-3.1,9.51,1.12,2.98,0.00401
C\C(O)=N\[C@@H]1[C@@H](O)O[C@@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19300.0,16200.0,-276.0,10.1,-10.1,0.578,1.88,1.22,2.12,-4860.0,2090.0,-377.0,-155.0,15800.0,-31800.0,16200.0,156.0,893.0,1920.0,2260.0,221.0,244.0,44.0,4.78,5.36,0.0933,-4.78,-7.05,-5.31,-2.37,10.7,0.892,2.13,0.00123
CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19300.0,16100.0,-283.0,10.0,-10.0,0.992,2.09,0.603,2.31,-4850.0,2090.0,-380.0,-156.0,15700.0,-31700.0,16100.0,156.0,1000.0,1950.0,2160.0,226.0,247.0,44.0,4.5,5.5,0.091,-4.5,-6.82,-5.48,-2.36,11.0,0.82,1.85,3.38E-4
OC[C@H]1O[C@@H](O)[C@@H](N\C(O)=C/N=[N+]=[N-])[C@@H](O)[C@@H]1O,-3690.0,-24000.0,20300.0,-185.0,9.29,-9.29,-0.743,3.46,1.64,4.39,-5640.0,2380.0,-440.0,-177.0,19800.0,-40000.0,20300.0,186.0,1520.0,2680.0,3290.0,250.0,283.0,51.0,5.01,4.27,0.117,-5.01,-8.35,-6.96,-2.94,8.54,1.17,2.94,0.00474
OC[C@H]1O[C@@H](O)[C@@H](\N=C(/O)CN=[N+]=[N-])[C@@H](O)[C@@H]1O,-3690.0,-24000.0,20300.0,-192.0,10.0,-10.0,-0.184,3.71,1.48,5.16,-5640.0,2380.0,-437.0,-176.0,19800.0,-40000.0,20300.0,184.0,1620.0,2480.0,3230.0,249.0,289.0,51.0,5.1,4.92,0.102,-5.1,-8.38,-6.77,-2.94,9.84,1.04,2.65,0.00182
CC(=O)N[C@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-25600.0,21500.0,-399.0,9.67,-9.67,-0.772,5.64,1.18,5.83,-6470.0,2730.0,-476.0,-170.0,21000.0,-42300.0,21500.0,195.0,920.0,6120.0,6540.0,277.0,304.0,55.0,5.22,4.45,0.112,-5.22,-8.9,-6.65,-3.1,8.9,1.17,3.06,0.00466
CC(=O)N[C@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-26100.0,21900.0,-400.0,9.71,-9.71,-0.767,4.78,1.36,4.45,-6470.0,2730.0,-476.0,-170.0,21400.0,-43100.0,21900.0,195.0,988.0,5350.0,5710.0,269.0,304.0,55.0,5.24,4.47,0.112,-5.24,-8.91,-6.64,-3.11,8.94,1.17,3.07,0.00296
