,Data1,Value,Value,Value,Value,Value
282,74.csv : ,1,-8.00,-7.89,24,40
245,40.csv : ,1,-8.02,-7.86,35,10
81,172.csv : ,1,-8.02,-7.59,26,13
96,186.csv : ,1,-8.08,-7.86,50,17
203,282.csv : ,1,-8.09,-7.93,49,13
269,62.csv : ,1,-8.13,-7.00,18,33
39,134.csv : ,1,-8.13,-7.85,26,7
22,119.csv : ,1,-8.13,-7.87,36,26
184,265.csv : ,1,-8.15,-8.06,18,39
250,45.csv : ,1,-8.18,-8.11,48,20
21,118.csv : ,1,-8.19,-7.86,24,15
210,289.csv : ,1,-8.19,-7.74,39,42
146,230.csv : ,1,-8.19,-8.05,43,4
20,117.csv : ,1,-8.19,-7.56,16,18
28,124.csv : ,1,-8.20,-7.39,24,7
80,171.csv : ,1,-8.23,-7.79,11,23
259,53.csv : ,1,-8.23,-7.94,31,40
98,188.csv : ,1,-8.23,-7.74,25,22
209,288.csv : ,1,-8.26,-8.01,20,31
50,144.csv : ,1,-8.28,-7.37,31,26
284,76.csv : ,1,-8.30,-7.79,21,40
49,143.csv : ,1,-8.33,-8.04,22,50
33,129.csv : ,1,-8.33,-8.14,50,11
27,123.csv : ,1,-8.34,-7.72,16,12
97,187.csv : ,1,-8.34,-7.75,9,37
224,300.csv : ,1,-8.34,-7.07,25,22
260,54.csv : ,1,-8.37,-7.80,37,28
293,84.csv : ,1,-8.38,-7.86,27,36
186,267.csv : ,1,-8.39,-8.24,7,40
87,178.csv : ,1,-8.43,-7.93,21,50
237,33.csv : ,1,-8.43,-8.02,19,29
38,133.csv : ,1,-8.44,-8.04,33,24
251,46.csv : ,1,-8.46,-8.06,20,36
230,306.csv : ,1,-8.47,-7.89,21,11
166,249.csv : ,1,-8.48,-7.90,28,43
285,77.csv : ,1,-8.50,-8.10,36,28
238,34.csv : ,1,-8.50,-7.94,5,16
34,13.csv : ,1,-8.51,-8.00,39,46
243,39.csv : ,1,-8.55,-8.32,37,45
94,184.csv : ,1,-8.57,-8.12,32,38
14,111.csv : ,1,-8.58,-7.52,38,48
231,307.csv : ,1,-8.59,-8.32,7,8
8,106.csv : ,1,-8.60,-8.10,19,2
86,177.csv : ,1,-8.61,-8.06,28,5
202,281.csv : ,1,-8.62,-8.20,31,3
283,75.csv : ,1,-8.62,-8.07,30,32
236,32.csv : ,1,-8.63,-8.20,5,22
84,175.csv : ,1,-8.65,-8.40,39,32
207,286.csv : ,1,-8.66,-8.37,44,1
244,4.csv : ,1,-8.67,-8.24,4,8
252,47.csv : ,1,-8.70,-8.34,33,11
75,167.csv : ,1,-8.71,-8.22,30,28
286,78.csv : ,1,-8.71,-8.25,40,18
187,268.csv : ,1,-8.72,-8.46,38,25
253,48.csv : ,1,-8.72,-8.15,36,29
9,107.csv : ,1,-8.72,-7.87,33,9
242,38.csv : ,1,-8.72,-7.56,7,2
221,299.csv : ,1,-8.72,-8.08,22,33
148,232.csv : ,1,-8.72,-8.36,30,6
225,301.csv : ,1,-8.73,-7.99,14,48
228,304.csv : ,1,-8.73,-8.01,8,44
168,250.csv : ,1,-8.74,-7.95,23,4
36,131.csv : ,1,-8.74,-8.06,42,14
206,285.csv : ,1,-8.74,-8.36,44,9
10,108.csv : ,1,-8.74,-7.90,33,21
183,264.csv : ,1,-8.75,-8.05,6,41
93,183.csv : ,1,-8.75,-8.35,19,15
219,297.csv : ,1,-8.76,-8.39,24,8
65,158.csv : ,1,-8.79,-8.67,3,28
40,135.csv : ,1,-8.79,-8.26,18,40
216,294.csv : ,1,-8.80,-7.87,12,30
188,269.csv : ,1,-8.80,-7.89,17,31
154,238.csv : ,1,-8.82,-8.27,33,27
211,29.csv : ,1,-8.84,-8.37,30,25
139,224.csv : ,1,-8.88,-8.22,31,25
220,298.csv : ,1,-8.88,-8.47,7,3
208,287.csv : ,1,-8.89,-8.58,47,44
232,308.csv : ,1,-8.91,-8.38,46,30
0,1.csv : ,1,-8.92,-8.46,6,39
54,148.csv : ,1,-8.92,-8.54,6,5
43,138.csv : ,1,-8.94,-7.92,15,46
59,152.csv : ,1,-8.94,-8.46,19,40
217,295.csv : ,1,-8.96,-7.92,14,21
100,19.csv : ,1,-8.98,986886.87,17,26
138,223.csv : ,1,-8.99,-8.81,8,6
16,113.csv : ,1,-9.01,-8.39,27,9
296,87.csv : ,1,-9.02,-8.71,28,42
17,114.csv : ,1,-9.02,-8.55,29,26
174,256.csv : ,1,-9.03,-8.19,19,30
279,71.csv : ,1,-9.03,-8.79,2,12
190,270.csv : ,1,-9.04,-7.78,16,36
164,247.csv : ,1,-9.04,-9.04,1,28
160,243.csv : ,1,-9.05,-8.39,25,4
140,225.csv : ,1,-9.07,-8.86,29,9
141,226.csv : ,1,-9.08,-8.89,40,2
305,95.csv : ,1,-9.08,-8.55,16,32
215,293.csv : ,1,-9.09,-8.67,25,20
147,231.csv : ,1,-9.10,-8.89,49,4
308,98.csv : ,1,-9.10,-8.48,30,30
111,2.csv : ,1,-9.10,-8.52,36,27
289,80.csv : ,1,-9.11,-8.44,20,32
132,218.csv : ,1,-9.11,-8.87,9,39
32,128.csv : ,1,-9.12,-8.23,10,44
3,101.csv : ,1,-9.12,-8.17,8,12
280,72.csv : ,1,-9.12,-8.67,9,6
1,10.csv : ,1,-9.15,-8.44,19,45
47,141.csv : ,1,-9.15,-8.34,37,29
223,30.csv : ,1,-9.16,-8.90,21,48
165,248.csv : ,1,-9.16,-7.65,8,46
229,305.csv : ,1,-9.16,-8.61,29,50
261,55.csv : ,1,-9.17,-8.43,8,33
18,115.csv : ,1,-9.19,-8.53,20,47
128,214.csv : ,1,-9.22,-9.08,9,39
90,180.csv : ,1,-9.23,-8.87,23,8
258,52.csv : ,1,-9.25,-8.66,4,27
107,196.csv : ,1,-9.25,-8.95,8,27
37,132.csv : ,1,-9.26,-8.64,23,46
176,258.csv : ,1,-9.27,-9.00,10,27
158,241.csv : ,1,-9.27,-8.79,16,17
306,96.csv : ,1,-9.29,-8.48,8,9
222,3.csv : ,1,-9.30,-8.37,6,1
150,234.csv : ,1,-9.31,-8.88,6,38
88,179.csv : ,1,-9.32,-9.16,6,14
109,198.csv : ,1,-9.32,-8.84,7,43
226,302.csv : ,1,-9.36,-8.72,34,38
288,8.csv : ,1,-9.37,-9.15,7,38
7,105.csv : ,1,-9.37,-8.89,15,13
106,195.csv : ,1,-9.38,-9.02,16,35
175,257.csv : ,1,-9.38,-8.85,27,17
58,151.csv : ,1,-9.39,-8.49,11,4
290,81.csv : ,1,-9.40,-9.00,18,33
271,64.csv : ,1,-9.40,-8.69,18,38
198,278.csv : ,1,-9.42,-8.64,12,16
71,163.csv : ,1,-9.43,-8.97,4,30
218,296.csv : ,1,-9.45,-8.35,11,6
64,157.csv : ,1,-9.46,-8.69,10,2
137,222.csv : ,1,-9.47,-9.27,37,41
127,213.csv : ,1,-9.48,-9.12,25,38
272,65.csv : ,1,-9.48,-8.75,37,31
153,237.csv : ,1,-9.48,-8.53,29,36
136,221.csv : ,1,-9.51,-8.92,16,31
247,42.csv : ,1,-9.52,-9.26,8,43
4,102.csv : ,1,-9.53,-9.30,10,8
2,100.csv : ,1,-9.54,-8.81,4,27
310,output.csv : 100.csv : ,1,-9.54,-8.81,4,27
239,35.csv : ,1,-9.54,-9.23,21,1
42,137.csv : ,1,-9.55,-8.92,29,30
262,56.csv : ,1,-9.55,-8.76,15,27
105,194.csv : ,1,-9.56,-8.96,22,36
307,97.csv : ,1,-9.58,-8.29,7,15
256,50.csv : ,1,-9.58,-8.91,20,20
193,273.csv : ,1,-9.58,-9.40,45,1
254,49.csv : ,1,-9.59,-9.52,2,33
299,9.csv : ,1,-9.59,-8.25,27,40
131,217.csv : ,1,-9.61,-9.42,8,9
159,242.csv : ,1,-9.61,-9.08,26,12
161,244.csv : ,1,-9.61,-9.20,46,11
268,61.csv : ,1,-9.63,-9.05,25,26
227,303.csv : ,1,-9.63,-8.55,18,5
277,7.csv : ,1,-9.64,-9.19,9,36
267,60.csv : ,1,-9.64,-8.81,39,29
178,26.csv : ,1,-9.65,-8.99,2,47
133,219.csv : ,1,-9.65,-9.57,46,38
117,204.csv : ,1,-9.66,-8.25,17,6
291,82.csv : ,1,-9.66,-9.09,13,38
169,251.csv : ,1,-9.66,-9.11,23,40
145,23.csv : ,1,-9.67,-8.13,5,21
30,126.csv : ,1,-9.68,-9.03,12,6
104,193.csv : ,1,-9.68,-9.19,32,24
287,79.csv : ,1,-9.69,-8.92,30,6
108,197.csv : ,1,-9.69,-9.55,39,19
240,36.csv : ,1,-9.69,-9.39,41,2
112,20.csv : ,1,-9.70,-8.86,24,38
26,122.csv : ,1,-9.71,-8.74,24,10
143,228.csv : ,1,-9.72,-9.41,23,23
295,86.csv : ,1,-9.76,-9.03,21,49
79,170.csv : ,1,-9.78,-9.29,3,24
191,271.csv : ,1,-9.78,-9.63,29,9
181,262.csv : ,1,-9.79,-9.79,1,41
110,199.csv : ,1,-9.80,-9.59,47,14
163,246.csv : ,1,-9.80,-8.84,9,35
114,201.csv : ,1,-9.81,-9.73,45,29
157,240.csv : ,1,-9.82,-9.12,6,41
149,233.csv : ,1,-9.82,-9.30,15,1
142,227.csv : ,1,-9.83,-9.64,44,42
234,31.csv : ,1,-9.83,-9.09,9,46
273,66.csv : ,1,-9.83,-9.08,36,43
249,44.csv : ,1,-9.84,-9.21,13,40
257,51.csv : ,1,-9.86,-9.05,8,32
235,310.csv : ,1,-9.86,-9.76,42,35
116,203.csv : ,1,-9.86,-9.07,12,11
264,58.csv : ,1,-9.86,-9.24,11,32
246,41.csv : ,1,-9.87,-9.25,11,16
31,127.csv : ,1,-9.87,-9.31,8,7
294,85.csv : ,1,-9.87,-9.58,27,9
173,255.csv : ,1,-9.88,-9.07,20,35
194,274.csv : ,1,-9.91,-9.68,23,28
121,208.csv : ,1,-9.91,-9.11,8,28
170,252.csv : ,1,-9.91,-9.60,26,28
123,21.csv : ,1,-9.91,-8.99,15,34
265,59.csv : ,1,-9.92,-9.53,16,9
82,173.csv : ,1,-9.92,-9.53,10,4
122,209.csv : ,1,-9.94,-9.48,3,32
29,125.csv : ,1,-9.95,-8.98,17,34
113,200.csv : ,1,-9.95,-9.80,49,25
233,309.csv : ,1,-9.97,-9.88,48,19
