"Index","pIC50"
239,4.19759016377297
387,4.19708429415875
386,4.1951615779568
320,4.18980693487691
2,4.18966829237795
17,4.18903853942818
86,4.1825078583421
309,4.16881521161895
245,4.16076623712238
315,4.15803886903944
357,4.15550562276185
356,4.14993046802358
335,4.1284935959342
280,4.12654828138286
292,4.12614785425821
281,4.12200788245148
107,4.11751380799245
9,4.11392008688558
394,4.11284579971569
133,4.11224873882312
77,4.11204355884073
228,4.1108518383244
227,4.10745647231823
78,4.09890371911986
305,4.09771436703702
282,4.09472503830617
29,4.0900616842651
3,4.07627100192386
412,4.07317728614797
136,4.06863996801108
294,4.06786588372236
319,4.06782785727328
240,4.06698766573042
391,4.06505373917613
393,4.06505373917613
85,4.06461674210152
5,4.05602669429913
132,4.05525778069089
146,4.04948325510522
76,4.04792119868566
316,4.04723542629104
226,4.04527480653931
261,4.04479187967859
16,4.0302753259042
137,4.02921410798246
269,4.02090185059503
61,4.0172769581929
18,4.01500857573067
92,4.01305396488167
359,4.01294911925909
307,4.00751622138292
270,4.00151315902686
246,3.99815256776995
413,3.99796908899435
424,3.9920547700745
334,3.97735866983266
23,3.97290868888361
259,3.96968664539996
49,3.96699090633659
51,3.96662232290817
279,3.96291340339762
57,3.95084135643544
308,3.94780402268995
8,3.93763543534115
304,3.93421026570592
317,3.92895249073675
110,3.92185814521953
50,3.92153163236103
350,3.91786299495939
138,3.91691735110458
100,3.90916512719563
118,3.89604978957753
119,3.89604978957753
120,3.89604978957753
131,3.89107162432385
157,3.88883830030381
254,3.88861026663968
255,3.8879949701491
235,3.88590381218409
63,3.88456963735613
347,3.8836883673773
253,3.86630083626199
325,3.86417133214806
7,3.85183692750984
351,3.84686666215935
278,3.84445504067334
244,3.84222746642244
103,3.83179059383721
97,3.82871567268397
367,3.82153910790649
290,3.81354157131988
349,3.81346786001946
268,3.80510886029658
277,3.78426339504891
111,3.77866803859969
152,3.77518232776324
170,3.76758128338632
109,3.76259214515502
322,3.7599000905139
165,3.75701202273579
151,3.75634008285167
163,3.75278095126641
271,3.74420108836584
289,3.73959394277367
56,3.73275410300217
161,3.73186747064517
361,3.72925587541519
293,3.71542566675435
181,3.71515247969183
230,3.70849060759733
153,3.70479359902988
324,3.69323327018511
150,3.67554870523441
149,3.6755464854824
197,3.67193274221203
37,3.67180413155417
326,3.66593527808889
81,3.6588140111312
209,3.65575406058534
236,3.65493015610342
323,3.64944423807676
237,3.63995442119608
67,3.63807021439917
175,3.63807021439917
327,3.63516029022989
135,3.63423963707561
72,3.63364469445565
104,3.62926824843987
451,3.62445931457559
79,3.62312336378649
158,3.61383313776395
102,3.60469017398935
21,3.60208468134604
96,3.59309125108938
82,3.59117584011798
414,3.59086242626478
95,3.57379334607802
55,3.56865950989746
20,3.56721619910986
115,3.56355112409843
160,3.55731826240528
141,3.5439483036477
199,3.53993479480095
139,3.53988370373977
105,3.51542810996087
200,3.51133839384484
363,3.50019436896169
113,3.49699653251099
178,3.490166736747
179,3.48817189127264
117,3.48398006948102
183,3.4783937251439
417,3.47237418301864
177,3.45367702192915
19,3.45365369980245
452,3.4536020310154
449,3.42266217624951
80,3.42210318925729
283,3.41722308784297
223,3.41670696263626
397,3.41595110788035
457,3.41038751294379
286,3.40878831677253
186,3.39482522798755
180,3.39170267704912
360,3.38453972170264
193,3.37661476395696
195,3.37661476395696
285,3.37016966017446
284,3.37016827908414
116,3.36659938978315
399,3.35508574131218
453,3.35395602970216
94,3.35170640983556
124,3.34666038651554
