REC _TITLE1 TOTAL INTER INTRA RESTR VDW
335 91820057 -11.693 -13.325 -0.897 0.000 -13.027
336 91820057 -3.193 -4.687 -1.638 0.000 -9.533
337 91820057 -6.771 -10.212 1.684 0.000 -11.454
338 91820057 -7.162 -6.832 -2.082 0.000 -13.881
339 91820057 -9.596 -9.138 -2.375 0.119 -12.686
340 91820057 -6.516 -8.110 -0.806 0.000 -16.459
341 91820057 -7.386 -13.327 4.182 0.000 -10.678
342 91820057 -8.994 -10.920 -1.335 0.000 -11.365
343 91820057 -6.336 -10.878 -3.025 0.000 -11.768
344 91820057 -6.739 -10.564 -1.265 0.000 -11.842
345 91820057 0.678 -4.136 0.981 0.043 -13.450
346 91820057 -7.806 -9.865 -0.565 0.000 -13.401
347 91820057 -6.260 -7.695 -1.904 0.000 -9.905
348 91820057 -6.737 -9.160 -0.738 0.013 -12.710
349 91820057 -5.544 -7.031 -1.886 0.000 -12.720
350 91820057 -1.874 -5.923 -1.046 0.000 -12.460
351 91820057 -3.237 -6.106 -0.947 0.000 -10.823
352 91820057 -6.743 -8.926 -1.071 0.000 -10.717
353 91820057 -0.935 -4.563 1.221 0.000 -10.929
354 91820057 -9.553 -11.883 -1.554 0.000 -13.436
355 91820057 -8.137 -8.859 -1.687 0.000 -12.601
356 91820057 -7.453 -10.206 0.342 0.000 -10.017
357 91820057 -6.846 -14.135 -0.287 0.000 -12.476
358 91820057 -3.596 -6.011 -0.737 0.000 -12.487
359 91820057 -8.188 -10.697 -0.623 0.000 -13.195
360 91820057 -0.647 -2.007 -0.389 0.000 -6.570
361 91820057 -8.564 -13.787 1.754 0.000 -15.061
362 91820057 -4.241 -10.501 1.157 0.000 -12.222
363 91820057 3.245 -6.653 2.144 0.000 -11.308
364 91820057 -7.466 -14.562 3.504 0.000 -14.049
365 91820057 -4.928 -14.571 -0.099 0.000 -13.412
366 91820057 -10.465 -14.180 -0.184 0.000 -12.457
367 91820057 -6.279 -7.150 -0.864 0.000 -11.543
368 91820057 -4.667 -9.281 -0.386 0.000 -11.452
369 91820057 -5.169 -6.988 -0.593 0.000 -12.038
370 91820057 -1.666 -5.025 -0.536 0.000 -10.930
371 91820057 -3.415 -11.174 -1.231 0.000 -13.275
372 91820057 -7.790 -9.683 -0.513 0.000 -13.481
373 91820057 -6.383 -13.211 3.050 0.000 -11.569
374 91820057 -3.832 -10.189 3.224 0.000 -13.677
375 91820057 -3.177 -3.604 -1.354 0.006 -12.203
376 91820057 -2.670 -9.575 -0.632 0.000 -13.889
377 91820057 -9.255 -10.612 -0.405 0.000 -15.258
378 91820057 -6.537 -7.159 -2.972 0.000 -10.236
379 91820057 -2.215 -5.291 -0.067 0.000 -10.635
380 91820057 -5.010 -6.225 -1.179 0.000 -8.765
