,q_2c,d_2c,f_2c,ECR,Molecule
8,0.018393972058572117,0.002616985297421619,0.005540157918116693,0.026551115274110432,9
103,0.014325239843009504,0.008688697172522257,0.0033602756369874877,0.026374212652519248,104
28,0.0004325847601560317,0.0003204666723128192,0.024829265189570477,0.025582316622039327,29
57,0.024829265189570477,0.0001672982728735636,0.00019437286217380653,0.025190936324617847,58
111,0.001366186122364628,0.0039040833000576584,0.01933705117272506,0.024607320595147347,112
29,0.001668663498016304,0.0023679462195570463,0.020328482987029956,0.024365092704603304,30
23,0.00041148735245100153,0.00027582822103803856,0.023618327637050733,0.024305643210539775,24
120,0.001587281818903397,0.021370746597436336,0.0007882208242427243,0.023746249240582457,121
52,0.0005554498269121153,0.0005283602191926328,0.022466448205861078,0.023550258251965828,53
20,0.020328482987029956,0.0005839283485197721,0.00111853859280828,0.02203094992835801,21
110,0.009602495431037706,0.00015137773726879076,0.011728514404689883,0.021482387572996378,111
83,3.924320406554658e-05,2.6305506355803187e-05,0.021370746597436336,0.021436295307857685,84
99,0.00021481523453761698,0.003040503131260899,0.017496887455557768,0.020752205821356284,100
136,0.006122821412649095,0.0009157819444367089,0.013626589651700629,0.020665193008786432,137
106,0.0006784279506100467,0.007113703579325679,0.012329848197080325,0.02012197972701605,107
76,0.008264944411079327,0.01009482589973277,0.0017542177050422513,0.02011398801585435,77
135,0.0011758872928004553,0.004768458110777481,0.012962013032294575,0.01890635843587251,136
78,0.0008711187319746757,0.017496887455557768,7.517195964887862e-05,0.018443178147181324,79
108,0.0010639868219188583,0.0006453406290239936,0.01664355418490398,0.01835288163584683,109
115,0.001509869171115925,0.0008286337700880627,0.015831838468952662,0.01817034141015665,116
72,9.652270681138547e-05,0.015059710595610107,0.001587281818903397,0.016743515121324888,73
102,0.0024893534183931974,0.011728514404689883,0.0023679462195570463,0.016585814042640125,103
15,0.0033602756369874877,0.012962013032294575,0.00026237591995906923,0.01658466458924113,16
123,7.150577991539372e-05,0.014325239843009504,0.002142606343352009,0.016539351966276906,124
22,0.012329848197080325,0.0031963930603353787,0.0009157819444367089,0.016442023201852413,23
73,0.015831838468952662,0.0001848931858241466,5.297278464538051e-05,0.01606970443942219,74
97,0.0008286337700880627,0.012329848197080325,0.002892216043741923,0.01605069801091031,98
30,0.005540157918116693,0.0074784309611317535,0.00225246011967789,0.015271048998926336,31
31,0.009134176202636733,0.0018441583700620008,0.00410424993119494,0.015082584503893673,32
104,0.01009482589973277,0.00111853859280828,0.00353256065302148,0.014745925145562529,105
125,0.00410424993119494,0.00225246011967789,0.00786185831568138,0.01421856836655421,126
49,0.011156508007421491,0.0027511610028203614,5.8543981039558724e-05,0.013966212991281412,50
7,0.003040503131260899,0.00015913903982548333,0.010612398691337153,0.013812040862423535,8
95,0.012962013032294575,7.517195964887862e-05,0.0003541704464526059,0.01339135543839606,96
