"ECR","Index","Molecule"
"1.09483291593951e-05","95","899"
"1.06754530991093e-05","88","82313"
"9.13218034550699e-06","89","35717"
"8.56027044184569e-06","92","24139"
"5.30959891958932e-06","133","ZINC000164373873"
"4.827118614998e-06","113","ZINC000056871016"
"4.06145980498407e-06","134","ZINC000196304985"
"3.63955017412383e-06","125","ZINC000102863660"
"1.19707440943565e-06","141","ZINC000307008534"
"2.7382689393296e-07","127","ZINC000105341667"
"1.18884381555625e-07","145","ZINC000396869768"
