,q_3n,d_3n,f_3n,ECR,Molecule
7,0.0023679462195570463,0.004768458110777481,5.8543981039558724e-05,0.007194948311374086,8
31,0.005540157918116693,0.0010639868219188583,0.0003048373282757819,0.006908982068311333,32
88,3.377693875969222e-05,0.00410424993119494,0.0027511610028203614,0.0068891878727749935,89
4,0.004535897664470626,3.0562638056478614e-05,0.0012995564389377673,0.005866016741464872,5
115,0.00111853859280828,0.004535897664470626,5.038927145242552e-05,0.005704825528731331,116
30,0.0033602756369874877,0.00225246011967789,9.181523885144535e-05,0.005704550995516823,31
16,0.002616985297421619,0.0024893534183931974,6.47011052732924e-05,0.005171039821088109,17
82,0.003040503131260899,0.0017542177050422513,0.00027582822103803856,0.005070549057341189,83
153,0.004768458110777481,2.765421850739168e-05,6.154559513367405e-05,0.0048576579244185465,154
77,0.00410424993119494,0.0005839283485197721,0.0001066740885018854,0.0047948523682165975,78
64,5.297278464538051e-05,0.0007497788410238852,0.0037136789107166937,0.004516430536385959,65
72,9.652270681138547e-05,0.0037136789107166937,0.0006138669951534218,0.004424068612681501,73
134,0.0003541704464526059,0.0033602756369874877,0.0005025917872316793,0.004217037870671772,135
71,4.3370447865350125e-05,3.732929041883396e-05,0.00410424993119494,0.0041849496694791235,72
123,6.47011052732924e-05,0.00353256065302148,0.0004780800965271752,0.004075341854821947,124
130,0.002142606343352009,0.0012995564389377673,0.0002899702363421071,0.0037321330186318837,131
114,2.6305506355803187e-05,2.3802206451113468e-05,0.00353256065302148,0.0035826683658283964,115
102,0.0020381101989183107,0.00111853859280828,0.00033689734995427336,0.0034935461416808642,103
84,0.0031963930603353787,0.0001302920259204249,0.00013697224093841843,0.003463657327194222,85
126,2.2641359144339846e-05,5.038927145242552e-05,0.0033602756369874877,0.003433306267584253,127
106,0.0012361763235169694,0.0004547638550847908,0.0014362319827119717,0.003127172161313732,107
94,3.732929041883396e-05,0.00012393760883331792,0.002892216043741923,0.003053482942994075,95
60,7.150577991539372e-05,0.0011758872928004553,0.0017542177050422513,0.0030016107777581,61
50,0.0009157819444367089,0.0018441583700620008,6.80184018773947e-05,0.0028279587163761045,51
98,0.0002258290471306333,0.0004780800965271752,0.0020381101989183107,0.0027420193425761194,99
41,0.00013697224093841843,4.559409827772581e-05,0.0024893534183931974,0.0026719197576093416,42
99,0.00019437286217380653,0.002142606343352009,0.0001672982728735636,0.0025042774783993796,100
37,0.00021481523453761698,0.0005283602191926328,0.001587281818903397,0.0023304572726336467,38
29,0.0019387103915861005,4.125524616329523e-05,7.517195964887862e-05,0.0020551375973982744,30
154,0.0005839283485197721,0.001366186122364628,2.3802206451113468e-05,0.0019739166773355137,155
45,0.00020433857192320333,0.0003723291535462169,0.001366186122364628,0.0019428538478340482,46
108,0.0010120955722902195,0.0008286337700880627,4.559409827772581e-05,0.0018863234406560079,109
33,0.0003048373282757819,0.0007132116954499628,0.0007497788410238852,0.00176782786474963,34
101,0.0014362319827119717,0.00017587583874560642,3.377693875969222e-05,0.0016458847602172704,102
44,0.00026237591995906923,0.00041148735245100153,0.0007132116954499628,0.0013870749678600335,45
96,0.0004325847601560317,0.0004325847601560317,0.0004325847601560317,0.0012977542804680953,97
144,2.1537127028784376e-05,2.1537127028784376e-05,0.0012361763235169694,0.0012792505775745381,145
39,0.0001672982728735636,0.00023740754997057388,0.0008711187319746757,0.0012758245548188131,40
32,0.00033689734995427336,8.733735681305598e-05,0.0008286337700880627,0.001252868476855392,33
132,3.0562638056478614e-05,3.377693875969222e-05,0.0011758872928004553,0.0012402268696166262,133
140,2.502257167203054e-05,0.00011214338597429017,0.0010120955722902195,0.0011492615299365403,141
78,0.0007882208242427243,7.150577991539372e-05,0.00015137773726879076,0.0010111043414269087,79
75,0.00024957969534551087,0.0003541704464526059,0.0003723291535462169,0.0009760792953443337,76
150,0.00011789310032451164,0.0001014715318147867,0.0006784279506100467,0.0008977925827493451,151
18,0.0006453406290239936,0.0001848931858241466,2.502257167203054e-05,0.0008552563865201708,19
152,0.00015137773726879076,9.181523885144535e-05,0.0005554498269121153,0.0007986428030323515,153
93,0.00039141887746128867,7.517195964887862e-05,0.00023740754997057388,0.0007039983870807411,94
151,0.0003204666723128192,0.00027582822103803856,0.0001014715318147867,0.0006977664251656444,152
34,0.0002899702363421071,0.00014399495790441214,0.00026237591995906923,0.0006963411142055884,35
147,0.0003723291535462169,0.00013697224093841843,0.00017587583874560642,0.0006851772332302417,148
61,6.154559513367405e-05,0.00024957969534551087,0.0003541704464526059,0.0006652957369317908,62
127,8.30778636586967e-05,6.47011052732924e-05,0.00041148735245100153,0.0005592663213829906,128
146,0.0001302920259204249,0.0002258290471306333,0.0001848931858241466,0.0005410142588752047,147
149,5.5688757392240165e-05,0.00020433857192320333,0.00014399495790441214,0.0004040222872198556,150
55,7.902610843681085e-05,2.2641359144339846e-05,0.00024957969534551087,0.0003512471629266616,56
69,0.0001014715318147867,0.00015913903982548333,8.733735681305598e-05,0.00034794792845332603,70
142,0.00012393760883331792,2.6305506355803187e-05,0.00019437286217380653,0.0003446159773629276,143
133,2.765421850739168e-05,2.9072080609687777e-05,0.0002258290471306333,0.0002825553462477128,134
83,4.125524616329523e-05,3.2129618017777894e-05,0.00020433857192320333,0.00027772343610427645,84
148,0.00011214338597429017,6.80184018773947e-05,3.732929041883396e-05,0.0002174910782705188,149
112,2.9072080609687777e-05,3.5508719442127454e-05,0.00012393760883331792,0.00018851840888513315,113
121,4.793175768470099e-05,4.793175768470099e-05,7.150577991539372e-05,0.0001673692952847957,122
65,5.8543981039558724e-05,4.3370447865350125e-05,2.2641359144339846e-05,0.0001245557880492487,66
124,2.3802206451113468e-05,5.297278464538051e-05,3.924320406554658e-05,0.00011601819516204057,125
