Ligand,Affinity
Lig113,-3.55733705
Lig113,-3.46333838
Lig113,-3.45400453
Lig114,-6.1599431
Lig114,-5.62569427
Lig114,-5.58966494
Lig114,-5.32254553
Lig114,-5.1655426
Lig114,-4.96413612
Lig114,-4.95079851
Lig114,-4.88244867
Lig114,-4.85259342
Lig114,-4.72398233
Lig114,-4.69835758
Lig114,-4.60804176
Lig114,-4.59246922
Lig114,-4.55203247
Lig114,-4.41234446
Lig114,-4.33127308
Lig114,-4.29300213
Lig114,-4.28363276
Lig114,-4.22832203
Lig114,-4.22154236
Lig114,-4.20714569
Lig114,-4.18007755
Lig114,-4.15932035
Lig114,-4.07875443
Lig114,-4.07748365
Lig114,-4.07444
Lig114,-4.066082
Lig114,-4.06353474
Lig114,-4.03978729
Lig114,-4.03258801
Lig114,-3.96068501
Lig114,-3.92965174
Lig114,-3.91856766
Lig114,-3.87731934
Lig114,-3.73021173
Lig114,-3.72751045
Lig114,-3.72455359
Lig114,-3.69201136
Lig114,-3.6864078
Lig114,-3.66477537
Lig114,-3.66457796
Lig114,-3.62290883
Lig114,-3.60066223
Lig114,-3.58480763
Lig114,-3.58434391
Lig114,-3.57030964
Lig114,-3.54245877
Lig114,-3.53886366
Lig114,-3.4734056
Lig115,-4.73036861
Lig115,-4.67395592
Lig115,-4.47587919
Lig115,-4.46504879
Lig115,-4.46141434
Lig115,-4.45596123
Lig115,-4.43150806
Lig115,-4.35287094
Lig115,-4.33853817
Lig115,-4.31938076
Lig115,-4.3064332
Lig115,-4.28781557
Lig115,-4.01896715
Lig115,-4.00524282
Lig115,-3.90930414
Lig115,-3.8808856
Lig115,-3.85856652
Lig115,-3.82414985
Lig115,-3.81634998
Lig115,-3.78433752
Lig115,-3.77062631
Lig115,-3.74095321
Lig115,-3.66686058
Lig115,-3.5928247
Lig115,-3.57532597
Lig115,-3.56238413
Lig115,-3.54890347
Lig115,-3.53879619
Lig115,-3.51483202
Lig115,-3.51079917
Lig115,-3.49492168
Lig115,-3.35281515
Lig115,-3.32201409
Lig115,-3.30923867
Lig115,-3.29183412
Lig115,-3.17569971
Lig115,-3.16367126
Lig115,-3.09309411
Lig115,-3.06847143
Lig115,-3.06365919
Lig115,-3.04863381
Lig115,-3.04247665
Lig115,-3.04010797
Lig115,-3.02375746
Lig115,-2.98370647
