Ligand,affinity_(kcal/mol),rmsd_lb,rmsd_ub
Lig108,-5.7,1.913,2.951
Lig108,-5.7,6.067,8.612
Lig108,-5.6,4.205,7.439
Lig108,-5.3,5.545,8.467
Lig108,-5.2,4.971,7.744
Lig108,-5.0,2.030,2.517
Lig108,-4.9,7.181,9.382
Lig108,-4.8,5.115,6.921
Lig108,-4.7,4.258,7.076
Lig108,-4.7,6.079,8.237
Lig108,-4.7,3.325,7.071
Lig108,-4.7,4.587,7.453
Lig108,-4.6,1.735,2.043
Lig108,-4.5,3.632,7.520
Lig108,-4.5,6.319,9.148
Lig108,-4.4,6.001,9.107
Lig108,-4.4,4.413,5.606
Lig108,-4.4,4.917,6.854
Lig108,-4.3,1.997,2.279
Lig109,-5.7,0.000,0.000
Lig109,-5.6,1.592,1.933
Lig109,-5.5,1.803,3.351
Lig109,-5.3,1.819,3.039
Lig109,-5.1,1.942,4.002
Lig109,-4.9,1.678,2.226
Lig109,-4.9,1.750,2.299
Lig109,-4.7,8.117,9.601
Lig109,-4.6,1.719,3.138
Lig109,-4.6,1.921,2.994
Lig109,-4.5,2.162,3.964
Lig109,-4.4,2.191,4.207
Lig109,-4.2,2.322,4.060
Lig109,-4.2,5.802,7.546
Lig109,-4.2,3.262,4.866
Lig109,-4.2,2.437,3.231
Lig109,-4.2,2.326,3.652
Lig109,-4.2,2.952,4.597
Lig109,-4.1,6.035,7.540
Lig109,-4.1,2.793,4.292
Lig10,-6.8,0.000,0.000
Lig10,-6.2,4.137,7.828
Lig10,-5.9,2.834,4.359
Lig10,-5.8,3.714,7.266
Lig10,-5.7,3.191,6.689
Lig10,-5.6,3.884,7.387
Lig10,-5.5,2.257,3.373
Lig10,-5.5,1.541,2.449
Lig10,-5.4,3.656,6.916
Lig10,-5.2,2.590,3.496
Lig10,-5.2,3.877,6.303
Lig10,-5.2,3.473,6.867
Lig10,-5.2,2.327,2.828
Lig10,-5.1,2.162,3.586
Lig10,-5.1,3.881,6.325
Lig10,-5.1,3.283,7.100
Lig10,-4.9,5.271,8.270
Lig10,-4.9,7.358,9.198
Lig10,-4.9,4.357,7.217
Lig10,-4.9,8.449,10.330
Lig110,-5.8,0.000,0.000
Lig110,-5.7,1.499,1.832
Lig110,-5.6,1.795,3.383
Lig110,-5.3,1.831,3.044
Lig110,-5.1,1.960,4.024
Lig110,-5.0,1.333,1.671
Lig110,-5.0,2.220,3.421
Lig110,-4.7,2.067,3.477
Lig110,-4.6,1.868,2.993
Lig110,-4.5,3.183,5.197
Lig110,-4.4,2.150,4.216
Lig110,-4.4,9.708,10.277
Lig110,-4.4,2.059,3.289
Lig110,-4.3,2.154,3.400
Lig110,-4.1,3.077,4.442
Lig110,-4.1,3.134,4.753
Lig110,-4.0,2.403,4.085
Lig110,-4.0,6.182,7.630
Lig110,-3.9,6.624,8.445
Lig110,-3.8,2.578,3.775
Lig111,-5.2,0.000,0.000
Lig111,-5.1,2.281,4.143
Lig111,-5.1,2.032,3.117
Lig111,-5.0,2.474,3.921
Lig111,-4.9,1.786,3.163
Lig111,-4.9,2.488,3.942
Lig111,-4.6,2.386,3.205
Lig111,-4.6,1.690,2.087
Lig111,-4.5,2.002,3.371
Lig111,-4.4,2.367,4.362
Lig111,-4.4,2.431,4.089
Lig111,-4.2,2.750,4.534
Lig111,-4.2,9.376,10.646
Lig111,-4.2,3.081,4.453
Lig111,-4.2,2.582,3.835
Lig111,-4.1,4.085,5.696
Lig111,-4.1,5.959,7.603
Lig111,-4.0,3.370,5.067
Lig111,-4.0,2.112,2.700
Lig111,-3.9,5.753,7.999
Lig112,-6.0,0.000,0.000
Lig112,-5.8,1.800,4.917
Lig112,-5.5,2.110,4.741
Lig112,-5.3,2.804,4.306
Lig112,-5.0,3.001,5.409
Lig112,-4.8,3.784,6.829
Lig112,-4.8,3.798,5.941
Lig112,-4.8,5.205,6.563
Lig112,-4.7,4.841,8.324
Lig112,-4.7,3.957,6.323
Lig112,-4.6,7.150,9.290
Lig112,-4.6,3.287,5.563
Lig112,-4.6,3.157,4.220
Lig112,-4.6,8.219,9.358
Lig112,-4.4,4.290,6.554
Lig112,-4.3,2.983,4.194
Lig112,-4.3,2.834,5.907
Lig112,-4.2,5.369,8.205
Lig112,-4.2,4.804,8.061
Lig112,-4.1,6.007,8.537
Lig113,-5.8,0.000,0.000
Lig113,-5.0,3.622,6.465
Lig113,-4.9,2.076,4.707
Lig113,-4.8,2.769,4.424
Lig113,-4.8,5.991,8.732
Lig113,-4.7,1.994,3.072
Lig113,-4.5,6.965,8.919
Lig113,-4.5,7.067,9.223
Lig113,-4.4,5.024,8.196
Lig113,-4.4,8.337,9.720
Lig113,-4.4,3.032,5.605
Lig113,-4.3,7.804,9.540
Lig113,-4.3,8.027,10.521
Lig113,-4.2,8.227,10.081
Lig113,-4.2,2.985,4.714
Lig113,-4.2,6.960,9.159
Lig113,-4.1,7.927,10.376
Lig113,-4.1,6.950,9.328
Lig113,-4.1,4.357,7.001
Lig113,-4.1,7.126,9.060
Lig114,-6.2,0.000,0.000
Lig114,-5.5,1.542,4.760
Lig114,-5.2,3.427,6.526
Lig114,-4.9,2.909,4.219
Lig114,-4.9,1.656,2.399
Lig114,-4.9,1.886,4.736
Lig114,-4.8,2.861,5.427
Lig114,-4.8,7.969,9.841
Lig114,-4.6,2.602,4.520
Lig114,-4.5,3.794,5.903
Lig114,-4.4,2.979,4.472
Lig114,-4.4,4.466,6.683
Lig114,-4.3,3.055,4.113
Lig114,-4.3,5.372,7.843
Lig114,-4.3,5.258,8.792
Lig114,-4.2,6.718,8.643
Lig114,-4.2,4.702,7.601
Lig114,-4.2,4.774,8.290
Lig114,-4.2,3.162,4.908
Lig114,-4.1,3.405,5.859
Lig115,-5.5,0.000,0.000
Lig115,-4.9,2.617,4.523
Lig115,-4.8,2.449,3.193
Lig115,-4.8,7.325,9.422
Lig115,-4.7,6.117,8.375
Lig115,-4.7,5.246,8.159
Lig115,-4.6,3.007,4.427
Lig115,-4.6,8.478,10.311
Lig115,-4.5,8.567,10.821
Lig115,-4.5,6.785,10.260
Lig115,-4.5,3.014,5.073
Lig115,-4.4,7.806,9.735
Lig115,-4.4,3.817,5.913
Lig115,-4.3,3.137,4.287
Lig115,-4.3,8.097,9.804
Lig115,-4.3,4.002,5.108
Lig115,-4.2,2.866,5.913
Lig115,-4.2,9.092,10.348
Lig115,-4.2,7.930,9.926
Lig115,-4.1,7.227,9.710
Lig116,-5.3,0.000,0.000
Lig116,-5.1,1.953,4.817
Lig116,-5.0,2.810,4.598
Lig116,-4.8,1.786,3.113
Lig116,-4.8,6.723,8.337
Lig116,-4.7,3.124,5.254
Lig116,-4.7,3.400,4.933
Lig116,-4.7,2.950,5.556
Lig116,-4.6,2.208,4.992
Lig116,-4.6,3.971,5.774
Lig116,-4.6,4.024,5.792
Lig116,-4.5,5.652,7.495
Lig116,-4.5,2.569,5.142
Lig116,-4.4,4.505,6.160
Lig116,-4.3,2.696,4.308
Lig116,-4.3,2.270,3.719
Lig116,-4.3,4.533,7.031
Lig116,-4.2,5.370,7.857
Lig116,-4.1,3.383,5.614
Lig116,-4.1,3.193,5.070
Lig117,-5.5,0.000,0.000
Lig117,-5.1,2.432,4.085
Lig117,-4.9,4.821,6.943
Lig117,-4.8,2.428,3.532
Lig117,-4.8,8.250,9.810
Lig117,-4.8,9.213,10.729
Lig117,-4.7,2.141,4.741
Lig117,-4.7,2.234,4.336
Lig117,-4.6,2.042,3.015
Lig117,-4.6,7.269,8.723
Lig117,-4.5,7.384,9.292
Lig117,-4.4,1.624,3.035
Lig117,-4.3,2.272,5.502
Lig117,-4.3,1.858,4.977
Lig117,-4.3,8.349,9.761
Lig117,-4.1,8.095,9.122
Lig117,-4.1,3.345,5.075
Lig117,-4.0,3.078,5.298
Lig117,-4.0,8.253,9.804
Lig117,-4.0,2.919,4.257
Lig118,-5.5,0.000,0.000
Lig118,-5.2,2.833,4.177
Lig118,-5.2,3.095,5.155
Lig118,-5.2,2.647,5.822
Lig118,-5.2,2.277,4.552
Lig118,-5.2,7.445,9.667
Lig118,-5.1,2.078,2.867
Lig118,-5.0,2.347,3.929
Lig118,-5.0,1.711,2.277
Lig118,-4.8,4.232,6.549
Lig118,-4.8,2.339,4.001
Lig118,-4.7,2.467,4.029
Lig118,-4.7,2.328,4.686
Lig118,-4.5,6.228,8.095
Lig118,-4.5,2.038,2.661
Lig118,-4.3,3.297,5.426
Lig118,-4.2,5.424,7.927
Lig118,-4.1,2.988,5.378
Lig118,-4.0,5.953,8.774
Lig118,-4.0,3.739,5.009
Lig119,-5.8,0.000,0.000
Lig119,-5.8,7.568,9.849
Lig119,-5.6,7.852,9.943
Lig119,-5.5,9.447,11.273
Lig119,-5.5,8.820,10.632
Lig119,-5.4,7.597,9.402
Lig119,-5.3,8.951,10.407
Lig119,-5.3,7.298,9.198
Lig119,-5.2,7.870,10.250
Lig119,-5.2,11.032,13.018
Lig119,-5.2,8.177,9.777
Lig119,-5.1,3.489,5.510
Lig119,-5.1,2.458,5.922
Lig119,-5.0,11.150,13.037
Lig119,-5.0,8.373,10.347
Lig119,-5.0,8.189,9.831
Lig119,-4.9,7.468,9.667
Lig119,-4.8,4.746,7.650
Lig119,-4.8,3.632,5.337
Lig119,-4.8,10.047,12.073
Lig11,-6.2,0.000,0.000
Lig11,-6.1,3.404,6.947
Lig11,-5.8,3.527,6.563
Lig11,-5.6,4.193,6.670
Lig11,-5.6,2.923,4.662
Lig11,-5.5,2.649,4.126
Lig11,-5.5,3.176,6.493
Lig11,-5.4,3.191,6.391
Lig11,-5.2,4.148,7.733
Lig11,-5.2,6.399,8.621
Lig11,-5.1,4.787,8.127
Lig11,-5.1,2.073,2.470
Lig11,-5.0,4.810,7.896
Lig11,-4.8,3.150,3.985
Lig11,-4.6,7.765,9.204
Lig11,-4.6,3.184,6.569
Lig11,-4.4,7.966,10.385
Lig11,-4.4,5.307,7.745
Lig11,-4.4,4.378,7.193
Lig11,-4.4,7.774,8.684
Lig120,-5.8,0.000,0.000
Lig120,-5.6,2.216,4.597
Lig120,-5.5,2.920,5.215
Lig120,-5.3,2.435,3.924
Lig120,-5.2,2.002,2.660
Lig120,-5.2,2.724,4.353
Lig120,-5.1,2.035,3.111
Lig120,-5.0,1.993,2.391
Lig120,-5.0,2.755,5.228
Lig120,-4.9,2.906,5.884
Lig120,-4.9,2.072,5.920
Lig120,-4.9,9.605,11.315
Lig120,-4.9,2.318,3.400
Lig120,-4.9,2.245,3.457
Lig120,-4.8,2.587,4.997
Lig120,-4.6,2.306,5.503
Lig120,-4.6,2.164,6.287
Lig120,-4.6,2.861,4.265
Lig120,-4.5,8.307,9.202
Lig120,-4.5,1.728,5.267
Lig121,-5.9,0.000,0.000
Lig121,-5.6,2.645,4.699
Lig121,-5.4,2.674,4.573
Lig121,-5.1,3.402,6.866
Lig121,-5.1,3.655,5.811
Lig121,-5.1,3.109,5.011
Lig121,-5.1,5.782,8.305
Lig121,-4.8,4.729,5.744
Lig121,-4.8,2.902,6.400
Lig121,-4.8,3.410,5.362
Lig121,-4.8,2.875,4.521
Lig121,-4.7,3.378,5.207
Lig121,-4.7,3.668,5.396
Lig121,-4.4,5.474,7.273
Lig121,-4.4,5.047,7.122
Lig121,-4.3,5.602,7.818
Lig121,-4.3,4.861,6.503
Lig121,-4.3,5.080,7.512
Lig121,-4.3,2.822,5.773
Lig121,-4.3,4.725,6.881
Lig122,-6.7,0.000,0.000
Lig122,-6.0,1.723,3.226
Lig122,-5.7,2.471,5.749
Lig122,-5.1,8.847,9.814
Lig122,-5.0,2.845,5.842
Lig122,-5.0,3.084,4.349
Lig122,-4.9,2.126,2.866
Lig122,-4.9,2.529,5.778
Lig122,-4.9,3.004,6.028
Lig122,-4.9,2.494,3.155
Lig122,-4.8,3.562,6.177
Lig122,-4.7,2.795,6.150
Lig122,-4.6,2.668,5.838
Lig122,-4.6,4.236,6.710
Lig122,-4.6,8.319,9.680
Lig122,-4.5,4.798,5.841
Lig122,-4.5,3.453,6.187
Lig122,-4.5,2.849,4.662
Lig122,-4.5,3.272,5.079
Lig122,-4.4,3.033,4.593
Lig123,-5.7,0.000,0.000
Lig123,-5.5,4.143,6.850
Lig123,-5.4,2.529,5.956
Lig123,-5.2,1.892,2.968
Lig123,-5.0,3.437,6.443
Lig123,-4.9,3.053,4.634
Lig123,-4.8,2.241,3.682
Lig123,-4.8,2.268,6.409
Lig123,-4.8,3.414,4.886
Lig123,-4.7,2.335,6.125
Lig123,-4.7,2.241,6.016
Lig123,-4.6,2.867,4.602
Lig123,-4.6,2.333,3.642
Lig123,-4.6,2.824,5.452
Lig123,-4.6,2.664,4.473
Lig123,-4.5,2.745,6.241
Lig123,-4.4,2.670,6.453
Lig123,-4.4,1.722,2.251
Lig123,-4.3,3.062,4.370
Lig123,-4.2,3.280,4.478
Lig124,-6.0,0.000,0.000
Lig124,-5.8,1.654,2.019
Lig124,-5.8,2.088,2.523
Lig124,-5.7,2.786,5.945
Lig124,-5.1,1.608,1.791
Lig124,-5.0,1.855,4.972
Lig124,-4.9,2.760,4.652
Lig124,-4.9,8.939,10.221
Lig124,-4.8,2.958,4.961
Lig124,-4.8,4.974,6.422
Lig124,-4.8,2.391,4.921
Lig124,-4.7,10.022,11.538
Lig124,-4.6,2.733,3.992
Lig124,-4.6,2.461,3.719
Lig124,-4.6,2.009,3.124
Lig124,-4.6,2.094,2.653
Lig124,-4.6,4.623,6.811
Lig124,-4.5,2.395,2.966
Lig124,-4.5,8.937,9.942
Lig124,-4.5,2.313,5.270
Lig125,-6.1,0.000,0.000
Lig125,-5.5,2.801,5.475
Lig125,-5.3,2.471,4.081
Lig125,-5.2,3.052,4.991
Lig125,-5.2,2.853,6.017
Lig125,-5.1,2.754,5.169
Lig125,-5.1,1.719,5.266
Lig125,-5.0,2.270,5.527
Lig125,-5.0,2.042,5.248
Lig125,-4.9,2.573,4.297
Lig125,-4.7,2.745,3.862
Lig125,-4.6,2.666,6.184
Lig125,-4.6,6.645,8.641
Lig125,-4.5,2.635,5.664
Lig125,-4.5,3.827,7.728
Lig125,-4.5,2.985,5.124
Lig125,-4.4,2.263,3.827
Lig125,-4.3,2.633,4.392
Lig125,-4.3,6.429,8.369
Lig126,-5.1,0.000,0.000
Lig126,-5.0,2.900,5.114
Lig126,-5.0,3.071,6.874
Lig126,-4.7,5.677,7.627
Lig126,-4.6,6.265,8.000
Lig126,-4.5,2.302,4.753
Lig126,-4.5,1.875,4.683
Lig126,-4.5,3.715,6.844
Lig126,-4.5,2.937,4.968
Lig126,-4.5,2.120,3.735
Lig126,-4.4,5.093,7.074
Lig126,-4.4,5.640,8.037
Lig126,-4.4,3.158,5.796
Lig126,-4.3,3.769,5.254
Lig126,-4.3,4.019,7.205
Lig126,-4.3,1.857,4.873
Lig126,-4.2,2.218,3.634
Lig126,-4.2,2.775,5.061
Lig126,-4.2,3.159,4.764
Lig126,-4.1,1.733,3.192
Lig127,-5.8,0.000,0.000
Lig127,-5.6,4.836,7.375
Lig127,-5.3,4.494,6.290
Lig127,-5.3,7.520,9.730
Lig127,-5.3,6.032,9.348
Lig127,-5.3,3.319,5.242
Lig127,-5.1,4.185,5.950
Lig127,-5.0,4.482,8.278
Lig127,-5.0,4.389,8.010
Lig127,-5.0,5.227,7.258
Lig127,-5.0,3.984,6.347
Lig127,-4.9,4.571,8.238
Lig127,-4.9,3.539,5.506
Lig127,-4.8,4.790,7.194
Lig127,-4.8,2.265,3.804
Lig127,-4.7,2.710,4.488
Lig127,-4.7,5.066,6.296
Lig127,-4.6,8.877,12.281
Lig127,-4.5,2.630,3.986
Lig127,-4.5,4.088,6.108
Lig128,-6.3,0.000,0.000
Lig128,-6.0,2.674,5.574
Lig128,-6.0,6.059,7.545
Lig128,-5.6,3.616,6.731
Lig128,-5.3,1.883,2.901
Lig128,-5.3,3.966,6.455
Lig128,-5.2,4.134,6.395
Lig128,-5.1,2.987,5.519
Lig128,-5.1,5.390,7.711
Lig128,-5.0,4.097,6.340
Lig128,-4.9,3.579,6.659
Lig128,-4.8,4.675,6.858
Lig128,-4.7,7.208,9.429
Lig128,-4.7,2.335,4.135
Lig128,-4.6,4.233,6.846
Lig128,-4.6,5.687,7.657
Lig128,-4.4,5.591,7.612
Lig128,-4.4,6.474,8.186
Lig128,-4.4,2.191,2.798
Lig128,-4.3,4.961,7.182
Lig129,-6.1,0.000,0.000
Lig129,-6.0,1.957,6.147
Lig129,-5.8,3.858,6.331
Lig129,-5.8,3.288,6.347
Lig129,-5.7,4.754,6.690
Lig129,-5.6,6.347,10.575
Lig129,-5.6,4.037,6.866
Lig129,-5.5,3.072,3.691
Lig129,-5.3,10.949,13.145
Lig129,-5.2,10.382,12.398
Lig129,-5.2,3.852,6.116
Lig129,-5.0,4.117,7.400
Lig129,-5.0,3.915,5.649
Lig129,-5.0,4.030,5.278
Lig129,-4.9,1.702,3.428
Lig129,-4.9,4.132,6.172
Lig129,-4.8,11.399,12.178
Lig129,-4.7,4.183,6.375
Lig129,-4.4,4.651,6.090
Lig129,-4.4,7.170,11.193
Lig12,-6.3,0.000,0.000
Lig12,-6.1,3.370,6.915
Lig12,-5.8,3.412,6.461
Lig12,-5.7,3.975,7.588
Lig12,-5.6,4.344,6.763
Lig12,-5.5,2.615,4.081
Lig12,-5.4,3.145,6.327
Lig12,-5.3,2.539,3.829
Lig12,-5.3,3.196,6.447
Lig12,-5.3,3.323,6.655
Lig12,-5.2,3.822,6.995
Lig12,-5.0,6.412,8.649
Lig12,-5.0,4.666,8.416
Lig12,-5.0,3.200,4.697
Lig12,-4.8,4.639,7.323
Lig12,-4.8,3.125,6.204
Lig12,-4.8,2.385,3.714
Lig12,-4.8,3.849,6.756
Lig12,-4.7,3.625,6.136
Lig12,-4.6,2.869,3.704
Lig130,-6.7,0.000,0.000
Lig130,-6.0,4.372,7.553
Lig130,-6.0,2.530,3.001
Lig130,-6.0,4.265,7.612
Lig130,-5.9,1.968,6.429
Lig130,-5.6,3.844,4.486
Lig130,-5.5,2.950,6.392
Lig130,-5.5,1.248,2.414
Lig130,-5.5,2.558,3.565
Lig130,-5.4,3.223,6.018
Lig130,-5.3,1.838,2.204
Lig130,-5.0,4.684,8.076
Lig130,-4.9,2.823,6.271
Lig130,-4.9,2.954,4.746
Lig130,-4.9,3.193,6.222
Lig130,-4.8,3.603,6.754
Lig130,-4.8,4.795,6.940
Lig130,-4.8,8.745,10.314
Lig130,-4.7,3.247,4.806
Lig130,-4.6,3.426,6.649
Lig131,-5.9,0.000,0.000
Lig131,-5.7,2.529,5.340
Lig131,-5.4,3.741,6.149
Lig131,-5.3,2.418,5.471
Lig131,-5.2,5.405,7.846
Lig131,-5.0,7.648,9.552
Lig131,-5.0,3.449,5.326
Lig131,-5.0,2.476,3.057
Lig131,-5.0,7.774,10.006
Lig131,-4.8,7.423,9.957
Lig131,-4.8,6.310,9.046
Lig131,-4.6,2.708,4.504
Lig131,-4.5,2.640,5.966
Lig131,-4.5,3.266,4.647
Lig131,-4.4,2.256,6.147
Lig131,-4.4,3.866,6.377
Lig131,-4.4,3.342,5.770
Lig131,-4.3,7.393,9.728
Lig131,-4.2,8.306,10.136
Lig131,-4.2,3.079,4.401
Lig132,-6.1,0.000,0.000
Lig132,-5.6,3.691,6.175
Lig132,-5.5,2.714,5.628
Lig132,-5.4,2.708,5.667
Lig132,-5.2,5.525,8.388
Lig132,-5.1,7.779,9.681
Lig132,-5.0,2.594,3.155
Lig132,-4.9,4.886,7.541
Lig132,-4.8,2.952,4.344
Lig132,-4.6,3.449,4.824
Lig132,-4.6,3.148,6.257
Lig132,-4.6,4.071,5.652
Lig132,-4.5,3.754,5.530
Lig132,-4.5,3.097,6.333
Lig132,-4.5,2.392,5.993
Lig132,-4.4,2.923,5.203
Lig132,-4.4,5.151,7.121
Lig132,-4.3,8.284,10.273
Lig132,-4.3,3.727,4.490
Lig132,-4.3,3.405,5.560
Lig133,-5.9,0.000,0.000
Lig133,-5.7,1.977,4.635
Lig133,-5.4,2.581,3.453
Lig133,-5.3,2.734,4.913
Lig133,-5.3,1.955,3.052
Lig133,-5.2,4.148,6.125
Lig133,-5.2,2.473,4.026
Lig133,-5.1,1.970,5.579
Lig133,-5.1,2.919,5.672
Lig133,-5.1,2.087,4.288
Lig133,-4.9,2.806,3.970
Lig133,-4.9,2.483,3.640
Lig133,-4.9,5.311,8.083
Lig133,-4.8,4.945,7.102
Lig133,-4.8,4.833,7.424
Lig133,-4.7,2.580,4.967
Lig133,-4.7,3.991,7.052
Lig133,-4.7,2.273,4.039
Lig133,-4.7,3.175,5.615
Lig133,-4.5,5.506,6.712
Lig134,-5.5,0.000,0.000
Lig134,-5.5,2.146,5.676
Lig134,-5.5,1.960,4.183
Lig134,-5.4,2.033,3.061
Lig134,-5.1,3.670,6.369
Lig134,-5.0,1.819,5.642
Lig134,-5.0,1.921,4.434
Lig134,-4.9,1.632,5.131
Lig134,-4.9,1.905,3.943
Lig134,-4.8,1.825,4.555
Lig134,-4.8,2.415,5.087
Lig134,-4.8,1.953,5.980
Lig134,-4.8,2.018,5.155
Lig134,-4.7,2.006,5.166
Lig134,-4.7,4.648,7.784
Lig134,-4.7,6.053,8.470
Lig134,-4.7,5.629,7.810
Lig134,-4.6,5.755,8.620
Lig134,-4.6,2.840,5.616
Lig134,-4.6,5.685,8.250
Lig135,-5.3,0.000,0.000
Lig135,-5.3,4.404,8.096
Lig135,-5.1,7.454,9.856
Lig135,-5.0,6.321,9.122
Lig135,-4.9,5.445,8.150
Lig135,-4.9,6.197,8.940
Lig135,-4.9,5.765,8.226
Lig135,-4.9,1.902,2.058
Lig135,-4.8,1.829,2.495
Lig135,-4.8,2.157,5.049
Lig135,-4.7,2.682,4.265
Lig135,-4.6,8.859,11.371
Lig135,-4.6,2.080,4.625
Lig135,-4.6,10.274,13.820
Lig135,-4.5,1.791,4.456
