,Data1,Value,Value,Value,Value,Value
290,81.csv : ,1,-9.49,-9.05,20,41
137,222.csv : ,1,-9.48,-9.27,38,7
271,64.csv : ,1,-9.48,-8.93,18,34
218,296.csv : ,1,-9.48,-8.42,10,44
127,213.csv : ,1,-9.46,-9.16,20,39
42,137.csv : ,1,-9.45,-8.67,29,15
227,303.csv : ,1,-9.41,-8.67,14,26
299,9.csv : ,1,-9.40,-8.32,25,9
107,196.csv : ,1,-9.39,-9.04,5,15
310,output.csv : 100.csv : ,1,-9.39,-9.20,3,9
2,100.csv : ,1,-9.39,-9.20,3,9
3,101.csv : ,1,-9.39,-8.50,14,34
258,52.csv : ,1,-9.39,-8.37,3,16
247,42.csv : ,1,-9.39,-9.27,9,26
288,8.csv : ,1,-9.37,-9.17,4,10
280,72.csv : ,1,-9.36,-9.09,4,30
226,302.csv : ,1,-9.36,-8.87,41,1
37,132.csv : ,1,-9.34,-8.87,29,31
308,98.csv : ,1,-9.32,-9.18,3,19
132,218.csv : ,1,-9.31,-8.70,19,33
109,198.csv : ,1,-9.31,-8.86,10,27
64,157.csv : ,1,-9.30,-8.14,6,16
88,179.csv : ,1,-9.29,-8.99,6,23
175,257.csv : ,1,-9.25,-8.77,8,18
7,105.csv : ,1,-9.25,-8.71,6,42
158,241.csv : ,1,-9.24,-8.78,13,45
305,95.csv : ,1,-9.23,-8.50,13,50
229,305.csv : ,1,-9.22,-8.73,24,32
17,114.csv : ,1,-9.22,-8.32,15,48
261,55.csv : ,1,-9.19,-9.03,2,46
128,214.csv : ,1,-9.19,1677712.46,10,1
306,96.csv : ,1,-9.18,-9.06,3,28
223,30.csv : ,1,-9.17,-8.85,26,13
18,115.csv : ,1,-9.16,-8.23,10,22
176,258.csv : ,1,-9.16,-8.92,5,29
16,113.csv : ,1,-9.15,-8.60,21,37
111,2.csv : ,1,-9.13,-8.73,33,43
147,231.csv : ,1,-9.12,-8.94,49,47
32,128.csv : ,1,-9.10,-8.27,10,33
141,226.csv : ,1,-9.08,-8.87,33,1
206,285.csv : ,1,-9.07,-8.43,47,14
140,225.csv : ,1,-9.07,-8.90,29,10
165,248.csv : ,1,-9.06,-7.38,8,9
160,243.csv : ,1,-9.06,-8.09,24,29
215,293.csv : ,1,-9.05,-8.56,24,46
296,87.csv : ,1,-9.04,-8.73,26,30
100,19.csv : ,1,-9.03,-8.31,18,39
279,71.csv : ,1,-9.02,-8.71,3,35
208,287.csv : ,1,-9.00,-8.64,44,19
138,223.csv : ,1,-8.99,-8.93,5,37
232,308.csv : ,1,-8.94,-8.44,45,37
59,152.csv : ,1,-8.94,-8.30,29,38
0,1.csv : ,1,-8.92,-8.56,9,42
90,180.csv : ,1,-8.92,-8.78,32,39
43,138.csv : ,1,-8.92,-7.91,22,28
139,224.csv : ,1,-8.89,-8.27,37,10
1,10.csv : ,1,-8.89,-8.35,13,8
75,167.csv : ,1,-8.89,-8.30,35,37
190,270.csv : ,1,-8.88,-8.01,9,16
188,269.csv : ,1,-8.88,-8.88,1,34
222,3.csv : ,1,-8.87,-7.88,18,18
211,29.csv : ,1,-8.86,-8.45,21,45
65,158.csv : ,1,-8.86,-8.27,12,25
148,232.csv : ,1,-8.83,-8.45,36,26
54,148.csv : ,1,-8.82,-8.38,12,9
40,135.csv : ,1,-8.80,-8.44,17,46
183,264.csv : ,1,-8.80,-8.28,5,9
216,294.csv : ,1,-8.79,-7.79,12,18
285,77.csv : ,1,-8.77,-8.15,42,36
231,307.csv : ,1,-8.77,-8.52,3,20
10,108.csv : ,1,-8.75,-7.83,37,16
93,183.csv : ,1,-8.75,-8.43,13,33
154,238.csv : ,1,-8.75,-8.29,34,28
9,107.csv : ,1,-8.74,-7.89,35,21
219,297.csv : ,1,-8.73,-8.29,4,24
225,301.csv : ,1,-8.73,-7.96,14,25
228,304.csv : ,1,-8.73,-7.96,10,39
286,78.csv : ,1,-8.71,-8.05,40,29
187,268.csv : ,1,-8.70,-8.41,37,39
253,48.csv : ,1,-8.70,-8.21,27,12
49,143.csv : ,1,-8.68,-8.00,21,42
207,286.csv : ,1,-8.66,-8.38,39,25
244,4.csv : ,1,-8.66,-8.33,2,17
242,38.csv : ,1,-8.66,-7.73,10,13
8,106.csv : ,1,-8.65,-8.13,11,41
14,111.csv : ,1,-8.64,-7.65,34,32
94,184.csv : ,1,-8.64,-8.08,33,14
202,281.csv : ,1,-8.63,-8.26,31,9
236,32.csv : ,1,-8.62,-8.29,18,21
34,13.csv : ,1,-8.61,-8.05,35,10
252,47.csv : ,1,-8.60,-8.32,31,40
217,295.csv : ,1,-8.60,-7.81,11,22
84,175.csv : ,1,-8.59,-8.37,42,34
243,39.csv : ,1,-8.57,-8.28,39,32
283,75.csv : ,1,-8.55,-8.06,33,20
86,177.csv : ,1,-8.54,671080.42,25,42
174,256.csv : ,1,-8.53,-7.95,7,36
220,298.csv : ,1,-8.49,-8.46,6,9
221,299.csv : ,1,-8.48,-7.73,14,17
36,131.csv : ,1,-8.48,-8.11,36,12
259,53.csv : ,1,-8.48,-7.95,28,43
166,249.csv : ,1,-8.47,-7.86,25,3
251,46.csv : ,1,-8.47,-8.15,20,30
38,133.csv : ,1,-8.46,-8.17,24,31
269,62.csv : ,1,-8.45,-7.31,10,1
237,33.csv : ,1,-8.43,-8.10,14,39
87,178.csv : ,1,-8.43,621370.59,27,22
293,84.csv : ,1,-8.42,-7.84,24,36
284,76.csv : ,1,-8.37,-7.96,26,24
97,187.csv : ,1,-8.36,-7.96,3,14
186,267.csv : ,1,-8.35,-8.22,6,30
33,129.csv : ,1,-8.33,-8.21,49,19
27,123.csv : ,1,-8.31,-7.93,27,45
15,112.csv : ,1,-8.30,-7.78,18,16
230,306.csv : ,1,-8.29,-7.68,15,38
50,144.csv : ,1,-8.28,-7.31,30,42
209,288.csv : ,1,-8.28,-7.97,28,45
98,188.csv : ,1,-8.24,-7.75,31,27
21,118.csv : ,1,-8.22,-7.89,21,32
80,171.csv : ,1,-8.21,986887.64,17,31
146,230.csv : ,1,-8.19,-7.94,42,34
250,45.csv : ,1,-8.18,-8.03,46,3
210,289.csv : ,1,-8.17,-7.68,42,13
20,117.csv : ,1,-8.16,-7.82,29,21
22,119.csv : ,1,-8.14,-7.90,31,10
39,134.csv : ,1,-8.13,-7.88,30,30
28,124.csv : ,1,-8.12,-7.58,19,29
184,265.csv : ,1,-8.12,-8.03,12,33
260,54.csv : ,1,-8.11,-7.69,36,3
203,282.csv : ,1,-8.11,-7.94,47,11
238,34.csv : ,1,-8.10,-8.10,1,7
96,186.csv : ,1,-8.09,-7.88,50,24
101,190.csv : ,1,-8.05,-7.14,24,36
245,40.csv : ,1,-8.03,-7.87,29,12
81,172.csv : ,1,-8.01,-7.72,17,42
282,74.csv : ,1,-8.00,-7.86,20,37
303,93.csv : ,1,-7.95,-7.15,46,8
224,300.csv : ,1,-7.92,-6.95,33,43
41,136.csv : ,1,-7.91,-7.35,28,32
185,266.csv : ,1,-7.84,-7.71,45,18
171,253.csv : ,1,-7.80,-7.68,42,17
281,73.csv : ,1,-7.80,-7.66,42,6
11,109.csv : ,1,-7.76,-7.68,49,3
13,110.csv : ,1,-7.70,-7.60,50,8
85,176.csv : ,1,-7.67,-7.04,37,38
212,290.csv : ,1,-7.67,-7.29,31,25
102,191.csv : ,1,-7.66,-7.31,31,42
99,189.csv : ,1,-7.64,-7.60,6,45
172,254.csv : ,1,-7.61,-7.33,27,44
292,83.csv : ,1,-7.61,-7.57,36,41
45,14.csv : ,1,-7.52,-7.14,17,38
76,168.csv : ,1,-7.47,-7.26,39,5
144,229.csv : ,1,-7.47,-7.29,27,2
304,94.csv : ,1,-7.33,-7.15,49,27
35,130.csv : ,1,-7.27,-6.81,38,3
103,192.csv : ,1,-7.25,-6.90,46,6
92,182.csv : ,1,-7.21,-7.04,28,19
95,185.csv : ,1,-7.17,-6.91,38,23
91,181.csv : ,1,-6.76,-6.71,33,10
24,120.csv : ,1,-6.70,-6.43,26,33
23,12.csv : ,1,-11.95,-11.95,1,10
12,11.csv : ,1,-11.52,-11.02,8,2
255,5.csv : ,1,-11.39,-11.03,12,15
55,149.csv : ,1,-11.20,-10.31,24,13
5,103.csv : ,1,-11.20,-10.44,10,34
130,216.csv : ,1,-11.18,-10.87,3,27
266,6.csv : ,1,-11.15,-10.09,5,47
52,146.csv : ,1,-11.12,-9.28,9,20
177,259.csv : ,1,-11.12,-10.42,19,47
6,104.csv : ,1,-11.12,-10.58,11,27
60,153.csv : ,1,-10.97,-10.97,1,1
66,159.csv : ,1,-10.95,-10.39,9,24
74,166.csv : ,1,-10.95,-10.02,25,14
167,25.csv : ,1,-10.92,-10.92,1,20
301,91.csv : ,1,-10.89,-9.76,32,23
155,239.csv : ,1,-10.89,-9.63,21,4
61,154.csv : ,1,-10.89,-9.30,11,23
120,207.csv : ,1,-10.87,-10.08,6,31
197,277.csv : ,1,-10.85,-10.77,12,22
51,145.csv : ,1,-10.80,-9.40,12,28
68,160.csv : ,1,-10.77,-10.36,4,13
189,27.csv : ,1,-10.76,-10.76,1,10
275,68.csv : ,1,-10.75,-9.85,28,20
89,18.csv : ,1,-10.72,-10.07,17,6
48,142.csv : ,1,-10.72,-9.39,29,24
192,272.csv : ,1,-10.70,-10.64,44,47
73,165.csv : ,1,-10.66,-9.99,31,11
199,279.csv : ,1,-10.65,-10.51,37,28
300,90.csv : ,1,-10.64,-9.88,45,50
126,212.csv : ,1,-10.61,-9.77,4,34
205,284.csv : ,1,-10.61,-10.08,13,38
201,280.csv : ,1,-10.60,-10.47,37,14
248,43.csv : ,1,-10.55,-9.21,4,14
118,205.csv : ,1,-10.53,-9.87,28,32
78,17.csv : ,1,-10.51,-9.59,28,11
241,37.csv : ,1,-10.50,-9.41,24,42
77,169.csv : ,1,-10.48,-9.43,9,29
57,150.csv : ,1,-10.47,-9.31,14,23
270,63.csv : ,1,-10.47,-9.79,17,2
179,260.csv : ,1,-10.45,-9.39,10,37
200,28.csv : ,1,-10.45,-9.38,2,24
72,164.csv : ,1,-10.45,-9.57,5,35
162,245.csv : ,1,-10.43,-9.55,10,49
276,69.csv : ,1,-10.42,-9.59,13,13
44,139.csv : ,1,-10.40,-9.21,21,15
274,67.csv : ,1,-10.40,-9.29,16,30
182,263.csv : ,1,-10.40,-10.00,19,3
309,99.csv : ,1,-10.39,-9.25,20,24
297,88.csv : ,1,-10.37,-9.41,20,26
119,206.csv : ,1,-10.36,-9.39,10,1
124,210.csv : ,1,-10.36,-9.66,4,35
178,26.csv : ,1,-10.36,-8.29,5,38
70,162.csv : ,1,-10.33,-10.03,22,39
213,291.csv : ,1,-10.32,-10.11,35,26
214,292.csv : ,1,-10.31,-10.16,37,32
69,161.csv : ,1,-10.29,-10.09,4,3
196,276.csv : ,1,-10.28,-9.30,14,23
151,235.csv : ,1,-10.27,-9.51,7,13
145,23.csv : ,1,-10.25,-10.07,3,3
240,36.csv : ,1,-10.23,-9.41,40,39
63,156.csv : ,1,-10.23,-9.43,16,50
56,15.csv : ,1,-10.19,-9.46,33,7
53,147.csv : ,1,-10.19,-9.51,7,9
302,92.csv : ,1,-10.19,-9.09,35,21
204,283.csv : ,1,-10.18,-9.78,32,33
163,246.csv : ,1,-10.17,-8.85,7,42
152,236.csv : ,1,-10.17,-9.21,14,18
79,170.csv : ,1,-10.16,-9.10,5,43
129,215.csv : ,1,-10.15,-9.15,16,29
116,203.csv : ,1,-10.15,-9.01,12,45
263,57.csv : ,1,-10.15,-9.58,17,42
25,121.csv : ,1,-10.14,-9.28,29,5
62,155.csv : ,1,-10.11,-9.07,5,24
30,126.csv : ,1,-10.08,-8.72,8,21
156,24.csv : ,1,-10.07,-9.09,2,27
180,261.csv : ,1,-10.07,-9.53,29,20
298,89.csv : ,1,-10.06,-8.87,25,34
19,116.csv : ,1,-10.06,-9.62,28,3
83,174.csv : ,1,-10.05,-9.70,12,24
135,220.csv : ,1,-10.05,-9.88,44,32
195,275.csv : ,1,-10.04,-9.03,14,46
265,59.csv : ,1,-10.02,-9.26,37,20
257,51.csv : ,1,-10.01,-9.67,3,9
67,16.csv : ,1,-10.00,-8.67,7,33
