Number,Molecule,Affinity
304,Lig106,-4.30602646
305,Lig106,-4.27882004
306,Lig106,-4.09845781
307,Lig106,-4.08620691
308,Lig106,-4.04013491
309,Lig106,-4.0334301
310,Lig106,-4.0175457
311,Lig106,-3.92859745
312,Lig106,-3.84083271
313,Lig106,-3.83801627
314,Lig106,-3.75579071
315,Lig106,-3.72828794
316,Lig106,-3.71630573
317,Lig106,-3.70571494
318,Lig106,-3.69166255
319,Lig106,-3.67424774
320,Lig106,-3.65954709
321,Lig106,-3.63299727
322,Lig106,-3.62621593
323,Lig106,-3.62141538
324,Lig106,-3.56902695
325,Lig106,-3.53540325
326,Lig106,-3.52636862
327,Lig106,-3.5029552
328,Lig106,-3.46767235
329,Lig106,-3.36219835
330,Lig106,-3.26391959
331,Lig106,-3.22961998
332,Lig106,-3.18814588
333,Lig106,-3.18032432
334,Lig106,-3.15891576
335,Lig106,-3.09921503
336,Lig106,-3.09019995
337,Lig106,-3.08562207
338,Lig106,-3.04973888
339,Lig106,-3.04911184
340,Lig106,-2.98790908
341,Lig106,-2.9627161
342,Lig106,-2.9601295
343,Lig106,-2.94300485
344,Lig106,-2.93928671
345,Lig107,-5.29939938
346,Lig107,-4.72923422
347,Lig107,-4.63754654
348,Lig107,-4.59036493
349,Lig107,-4.36230993
350,Lig107,-4.28756189
351,Lig107,-4.24708033
352,Lig107,-4.19186306
353,Lig107,-4.07635021
354,Lig107,-3.7971065000000004
355,Lig107,-3.76229596
356,Lig107,-3.68405604
357,Lig107,-3.66124678
358,Lig107,-3.58802128
359,Lig107,-3.50885057
360,Lig107,-3.46313691
361,Lig107,-3.38552547
362,Lig107,-3.29678416
363,Lig107,-3.27852345
364,Lig107,-3.2612803
365,Lig107,-3.25858593
366,Lig107,-3.23240399
367,Lig107,-3.14729023
368,Lig107,-3.12211943
369,Lig107,-3.12011337
370,Lig107,-3.07707715
371,Lig107,-3.03494453
372,Lig107,-3.02715206
373,Lig107,-3.00807548
374,Lig107,-2.96459293
375,Lig107,-2.95395279
376,Lig107,-2.86765289
377,Lig107,-2.82614374
378,Lig107,-2.81538582
379,Lig107,-2.80786014
380,Lig107,-2.8012773999999996
381,Lig107,-2.75276637
382,Lig107,-2.74391842
383,Lig107,-2.73117399
384,Lig107,-2.71844506
385,Lig107,-2.70849681
386,Lig107,-2.69659662
387,Lig107,-2.68290019
388,Lig107,-2.60218215
389,Lig107,-2.56401992
390,Lig107,-2.53565335
391,Lig107,-2.52404904
392,Lig107,-2.50238442
393,Lig107,-2.4702425
394,Lig107,-2.46926141
395,Lig108,-6.79413795
396,Lig108,-6.15595722
397,Lig108,-5.95592594
398,Lig108,-5.16865635
399,Lig108,-5.0689497
400,Lig108,-5.00783062
401,Lig108,-4.72925854
402,Lig108,-4.7050848
403,Lig108,-4.68738508
404,Lig108,-4.67086601
405,Lig108,-4.47505856
406,Lig108,-4.4583149
407,Lig108,-4.43258953
408,Lig108,-4.41010714
409,Lig108,-4.34915352
410,Lig108,-4.33057404
411,Lig108,-4.26801968
412,Lig108,-4.24881554
413,Lig108,-4.22772312
414,Lig108,-4.18505383
415,Lig108,-4.16869545
416,Lig108,-4.16074705
417,Lig108,-4.12778759
418,Lig108,-4.12021208
419,Lig108,-4.11369276
420,Lig108,-4.06663609
421,Lig108,-4.04133749
422,Lig108,-4.01866102
423,Lig108,-4.01396465
424,Lig108,-3.98685908
425,Lig108,-3.93956447
426,Lig108,-3.88964248
427,Lig108,-3.88098812
428,Lig108,-3.85915995
429,Lig108,-3.85791039
430,Lig108,-3.84704518
431,Lig108,-3.81941986
432,Lig108,-3.81909752
433,Lig109,-5.51030397
434,Lig109,-5.08886385
435,Lig109,-4.56283092
436,Lig109,-4.35434723
437,Lig109,-4.10606527
438,Lig109,-4.0963769
439,Lig109,-4.07974482
440,Lig109,-4.06155634
441,Lig109,-3.92121363
442,Lig109,-3.91317081
443,Lig109,-3.88672805
444,Lig109,-3.78995466
445,Lig109,-3.709023
446,Lig109,-3.69327545
447,Lig109,-3.6419157999999996
448,Lig109,-3.5891211000000003
449,Lig109,-3.55258465
450,Lig109,-3.4491992
451,Lig109,-3.38672709
452,Lig109,-3.38160467
453,Lig109,-3.32025933
454,Lig109,-3.30417848
455,Lig109,-3.25765753
456,Lig109,-3.18038225
457,Lig109,-3.05560517
458,Lig109,-3.01166391
459,Lig109,-3.00502253
460,Lig109,-2.93446231
461,Lig109,-2.90782285
462,Lig109,-2.85351324
463,Lig109,-2.83334899
464,Lig109,-2.83133602
465,Lig109,-2.80102277
466,Lig109,-2.77851629
467,Lig109,-2.73841071
468,Lig109,-2.73634768
469,Lig109,-2.72879457
470,Lig109,-2.70281458
471,Lig109,-2.6801455
472,Lig109,-2.65792966
473,Lig109,-2.65450287
474,Lig109,-2.61067867
475,Lig109,-2.60524368
476,Lig109,-2.54307151
477,Lig109,-2.5401082
478,Lig109,-2.51361394
479,Lig10,-5.91895342
480,Lig10,-5.21566725
481,Lig10,-5.18004084
482,Lig10,-4.96703672
483,Lig10,-4.67384386
484,Lig10,-4.62178707
485,Lig10,-4.59068251
486,Lig10,-4.57208872
487,Lig10,-4.40186357
488,Lig10,-4.39668894
489,Lig10,-4.31693029
490,Lig10,-4.28100109
491,Lig10,-4.26884747
492,Lig10,-4.21073294
493,Lig10,-4.17155743
494,Lig10,-4.1227169
495,Lig10,-4.11626911
496,Lig10,-4.09270525
497,Lig10,-4.00809336
498,Lig10,-3.71819901
499,Lig10,-3.70453572
500,Lig10,-3.70148826
501,Lig10,-3.69792032
502,Lig10,-3.62617087
503,Lig10,-3.6214788
504,Lig10,-3.57182217
505,Lig10,-3.40143275
506,Lig10,-3.39358687
507,Lig10,-3.38586283
508,Lig10,-3.37757206
509,Lig10,-3.36872959
510,Lig10,-3.36738372
511,Lig10,-3.36061597
512,Lig10,-3.34681392
513,Lig10,-3.34298897
514,Lig10,-3.31907105
515,Lig10,-3.31049967
516,Lig10,-3.17010045
517,Lig10,-3.15698218
518,Lig10,-3.15066957
519,Lig10,-3.14858961
520,Lig10,-3.14711881
521,Lig10,-3.11597586
522,Lig10,-3.09018207
523,Lig10,-3.0502912999999996
524,Lig10,-3.01752663
525,Lig10,-2.97237492
526,Lig110,-5.52679491
527,Lig110,-5.15823221
528,Lig110,-4.23173618
529,Lig110,-4.13798523
530,Lig110,-4.12412167
531,Lig110,-4.06323576
532,Lig110,-4.05505943
533,Lig110,-4.05212021
534,Lig110,-4.01115894
535,Lig110,-3.91743851
536,Lig110,-3.89443707
537,Lig110,-3.86973715
538,Lig110,-3.8458147000000005
539,Lig110,-3.74597907
540,Lig110,-3.74292159
541,Lig110,-3.69919276
542,Lig110,-3.6747191
543,Lig110,-3.66379285
544,Lig110,-3.65175581
545,Lig110,-3.63417768
546,Lig110,-3.59486032
547,Lig110,-3.58127332
548,Lig110,-3.56992745
549,Lig110,-3.52380824
550,Lig110,-3.46773767
551,Lig110,-3.43422174
552,Lig110,-3.36094689
553,Lig110,-3.35066295
554,Lig110,-3.3431251000000004
555,Lig110,-3.32521129
556,Lig110,-3.31044149
557,Lig110,-3.20209575
558,Lig110,-3.18640614
559,Lig110,-3.13275242
560,Lig110,-3.05992007
561,Lig110,-2.98313022
562,Lig110,-2.93831778
563,Lig110,-2.93357062
564,Lig110,-2.91666603
565,Lig110,-2.91521525
566,Lig110,-2.89297986
567,Lig110,-2.8880291000000002
568,Lig110,-2.87935662
569,Lig110,-2.84523058
570,Lig110,-2.76888204
571,Lig110,-2.76687384
572,Lig110,-2.76204777
573,Lig110,-2.75588131
574,Lig110,-2.7202034
575,Lig110,-2.5884707000000002
576,Lig111,-4.62545061
577,Lig111,-4.43319845
578,Lig111,-4.40280199
579,Lig111,-4.39308071
580,Lig111,-4.31681395
