,Label,Molecule,ECR,Molecule_par,Molecule_impar
61,440552,62,0.0015352431996397567,124,123
112,ZINC000056871016,113,0.0010926157300175667,226,225
124,ZINC000102863660,125,0.0010793835894697358,250,249
126,ZINC000105341667,127,0.001010379155505673,254,253
133,ZINC000196304985,134,0.0007977658180911087,268,267
114,ZINC000082114392,115,0.0007266569571613244,230,229
71,254124,72,0.0006192730267855356,144,143
142,ZINC000383920275,143,0.000582525885795403,286,285
143,ZINC000394934764,144,0.00033549498453917223,288,287
55,448882,56,0.0003223066305139909,112,111
