,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
449,85.csv : ,1,-9.47,-9.15,17,7
188,269.csv : ,1,-9.47,-9.11,36,28
180,261.csv : ,1,-9.47,-9.40,3,44
172,254.csv : ,1,-9.48,-8.48,29,25
380,441.csv : ,1,-9.50,-8.97,39,1
374,436.csv : ,1,-9.50,-9.37,47,5
60,153.csv : ,1,-9.50,-8.83,5,37
400,46.csv : ,1,-9.51,-8.53,9,23
82,173.csv : ,1,-9.52,-8.49,14,22
284,355.csv : ,1,-9.52,-9.52,1,44
279,350.csv : ,1,-9.53,-8.67,10,1
309,378.csv : ,1,-9.53,-8.92,15,30
97,187.csv : ,1,-9.53,-9.00,14,1
10,108.csv : ,1,-9.53,-8.98,8,49
301,370.csv : ,1,-9.56,-8.42,13,15
461,96.csv : ,1,-9.57,-8.93,6,29
304,373.csv : ,1,-9.57,-9.06,35,12
318,386.csv : ,1,-9.57,-9.06,20,11
457,92.csv : ,1,-9.57,-9.25,4,30
440,77.csv : ,1,-9.59,-9.59,1,41
212,290.csv : ,1,-9.59,-9.02,19,33
244,319.csv : ,1,-9.60,-9.31,18,19
326,393.csv : ,1,-9.60,-9.19,12,34
282,353.csv : ,1,-9.62,-9.04,5,32
260,333.csv : ,1,-9.63,-9.32,42,37
200,28.csv : ,1,-9.63,-8.73,5,17
344,409.csv : ,1,-9.63,-9.46,38,33
255,329.csv : ,1,-9.64,-9.51,49,35
213,291.csv : ,1,-9.65,-9.14,31,17
294,364.csv : ,1,-9.66,-9.12,46,6
101,190.csv : ,1,-9.66,-9.06,21,33
452,88.csv : ,1,-9.67,-9.38,41,19
414,53.csv : ,1,-9.67,-8.88,8,11
254,328.csv : ,1,-9.68,-9.63,46,50
21,118.csv : ,1,-9.68,479340.31,35,38
270,342.csv : ,1,-9.69,-9.27,19,39
58,151.csv : ,1,-9.69,-9.37,7,7
189,27.csv : ,1,-9.69,-8.40,10,28
453,89.csv : ,1,-9.70,-9.12,39,48
34,13.csv : ,1,-9.70,-9.10,20,20
218,296.csv : ,1,-9.70,-9.55,40,40
59,152.csv : ,1,-9.70,-9.07,12,43
210,289.csv : ,1,-9.70,-9.11,20,36
219,297.csv : ,1,-9.71,-9.53,31,41
455,90.csv : ,1,-9.72,-9.20,39,31
