"ECR","Index","Molecule"
"0.00389903160048997","30","25243937"
"0.00387182453656235","10","54758653"
"0.00371455953508685","69","433580"
"0.00363344818568868","52","2733787"
"0.00338613706542821","106","ZINC000015205949"
"0.00307093961218952","16","49859685"
"0.00306093779018761","102","ZINC000013545464"
"0.00302847359980072","12","52948856"
"0.00280689413216788","14","52944903"
"0.00249613077268196","107","ZINC000015205956"
"0.00225246034541076","136","ZINC000257346145"
"0.00198719065701525","116","ZINC000100342293"
"0.00194415985969872","54","644170"
"0.00161083553677074","109","ZINC000019898298"
"0.00160169403656653","112","ZINC000044021353"
"0.00144541416362984","51","2801971"
"0.00143626606517416","91","24154"
"0.00143129961080249","119","ZINC000101073479"
"0.00136696638401508","79","122253"
"0.00136620322864588","96","739"
"0.00123713819861345","98","ZINC000003956714"
"0.00118212713150098","117","ZINC000100656214"
"0.00111935388665866","19","45934204"
"0.00091578223474524","146","ZINC000575124622"
"0.000788221067846577","155","ZINC000616591357"
"0.000720537651096661","22","45266822"
"0.000686624281325019","120","ZINC000101135603"
"0.000635135108555456","26","44229083"
"0.000579633176908967","29","25243963"
"0.000530755023113617","24","44630437"
"0.000419242728294791","97","ZINC000001471333"
"0.00033756569036467","27","44119773"
"0.000164568308444729","94","5300"
"0.000159139115963342","148","ZINC000616582453"
"0.000143995122527036","135","ZINC000252694384"
"0.000139246102406164","33","22833605"
"0.000136972509467158","152","ZINC000616583702"
"0.000124009519907461","34","16738680"
"0.000104316782030764","35","12917651"
"9.47039497868883e-05","90","29327"
"9.45420908542853e-05","45","6323218"
"9.13240748696401e-05","76","193108"
"7.83252866285786e-05","37","12302999"
"7.32847929506595e-05","99","ZINC000004027857"
"6.49542872702492e-05","38","11908605"
"6.31979844378619e-05","46","5462244"
"6.31545740870149e-05","100","ZINC000004027859"
"6.16138055462327e-05","144","ZINC000394934764"
"5.60725873634788e-05","39","11096158"
"5.32464243043645e-05","40","9816401"
"5.29811516220111e-05","101","ZINC000012364260"
"5.04500588234855e-05","153","ZINC000616583781"
"4.55957401880918e-05","114","ZINC000077269504"
"3.57173292633683e-05","42","6971258"
"3.37977870079964e-05","147","ZINC000575124647"
"3.37769987692929e-05","143","ZINC000383920275"
"3.06407804739353e-05","151","ZINC000616582904"
