LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
ZINC000106382957_entry_00259_conf_01,-69.3532,-53.3532,-3.01536,-24.3869,-0.21319,-10.084,-18.7608,-2.56864,1866721,6.68892
ZINC000106382957_entry_00260_conf_01,-69.1049,-51.1049,-3.00456,-24.2996,-0.212426,-10.0479,-17.9702,-2.65788,2128755,7.92571
ZINC000106382965_entry_00261_conf_01,-69.5323,-53.5323,-3.02314,-24.4499,-0.21374,-10.11,-18.8238,-2.78129,1989334,7.00308
ZINC000106382965_entry_00262_conf_01,-71.3096,-53.3096,-3.10042,-25.0749,-0.219204,-10.3685,-18.7455,-2.74268,2076257,7.7157
ZINC000106384102_entry_00263_conf_01,-70.4747,-56.4747,-3.20339,-25.1512,-0.226368,-10.3983,-20.1548,-2.71056,1490311,5.0326
ZINC000106384102_entry_00264_conf_01,-67.2059,-51.2059,-3.05481,-23.9846,-0.215869,-9.91596,-18.2745,-2.68824,1728493,6.08703
ZINC000164373873_entry_00265_conf_01,-61.4918,-49.4918,-4.73014,-26.1519,-0.318281,-10.6369,-21.0484,-3.41621,878664,2.35136
ZINC000164373873_entry_00266_conf_01,-59.1191,-47.1191,-4.54762,-25.1428,-0.305999,-10.2265,-20.0393,-3.28439,933169,2.48033
ZINC000196304985_entry_00267_conf_01,-65.2278,-53.2278,-4.07673,-25.8857,-0.277287,-10.5665,-21.1234,-3.26139,1125759,3.19624
ZINC000196304985_entry_00268_conf_01,-65.9193,-51.9193,-4.11996,-26.1601,-0.280226,-10.6785,-20.6042,-3.29596,1190427,3.5345
ZINC000252694384_entry_00269_conf_01,-72.3893,-46.3893,-3.14736,-25.4545,-0.217113,-10.4395,-16.3121,-2.68109,4272457,16.6131
ZINC000252694384_entry_00270_conf_01,-73.2134,-45.2134,-3.18319,-25.7443,-0.219584,-10.5583,-15.8986,-2.8159,4776946,19.1773
ZINC000257346145_entry_00271_conf_01,-60.2793,-50.2793,-2.73997,-21.5127,-0.194882,-8.91325,-17.9438,-2.62084,1081323,3.23709
ZINC000257346145_entry_00272_conf_01,-60.227,-52.227,-2.73759,-21.494,-0.194713,-8.90552,-18.6389,-2.50946,947443,2.69315
ZINC000257346492_entry_00273_conf_01,-63.0151,-53.0151,-2.73979,-22.1583,-0.196106,-9.20012,-18.6419,-2.62563,1149584,3.42512
ZINC000257346492_entry_00274_conf_01,-62.63,-52.63,-2.72304,-22.0228,-0.194908,-9.1439,-18.5065,-2.60958,1119480,3.34006
ZINC000257346903_entry_00275_conf_01,-70.49,-50.49,-2.71115,-23.7941,-0.197255,-9.93332,-17.0431,-2.43069,2508836,9.9526
ZINC000257346903_entry_00276_conf_01,-70.8705,-50.8705,-2.72579,-23.9226,-0.19832,-9.98694,-17.1715,-2.44381,2573373,10.3556
ZINC000257347638_entry_00277_conf_01,-52.4508,-38.4508,-1.63909,-16.521,-0.121574,-6.94142,-12.1112,-1.58942,1744133,6.97337
ZINC000257347638_entry_00278_conf_01,-63.117,-49.117,-1.97241,-19.8806,-0.146297,-8.35301,-15.4709,-1.91264,2039701,8.01572
ZINC000257347639_entry_00279_conf_01,-53.5518,-39.5518,-1.67349,-16.8678,-0.124126,-7.08714,-12.458,-1.62278,1912356,7.72029
ZINC000257347639_entry_00280_conf_01,-52.2268,-38.2268,-1.63209,-16.4504,-0.121055,-6.91178,-12.0407,-1.58263,1924304,7.76822
ZINC000307008534_entry_00281_conf_01,-63.3376,-51.3376,-4.52411,-26.2796,-0.304165,-10.6859,-21.3006,-3.51875,1027895,2.73635
ZINC000307008534_entry_00282_conf_01,-58.4049,-46.4049,-4.17178,-24.2329,-0.281841,-9.86963,-19.254,-3.24471,1028727,2.70298
ZINC000307565252_entry_00283_conf_01,-67.9288,-55.9288,-2.95343,-23.8861,-0.210113,-9.89739,-19.6665,-2.61265,1300662,4.18609
ZINC000307565252_entry_00284_conf_01,-67.1854,-55.1854,-2.92111,-23.6247,-0.207168,-9.77892,-19.4051,-2.58406,1274895,4.30786
ZINC000383920275_entry_00285_conf_01,-56.1601,-48.1601,-3.744,-22.7718,-0.256212,-9.31433,-19.5279,-3.12,635039,1.51211
ZINC000383920275_entry_00286_conf_01,-56.1325,-46.1325,-3.74217,-22.7606,-0.256086,-9.30975,-18.7058,-3.11847,810985,2.0503
ZINC000394934764_entry_00287_conf_01,-59.6789,-47.6789,-3.97859,-24.1986,-0.272253,-9.89778,-19.3328,-3.31549,1007918,2.71556
ZINC000394934764_entry_00288_conf_01,-56.0639,-44.0639,-3.73759,-22.7328,-0.255761,-9.29824,-17.867,-3.11466,1008479,2.73279
ZINC000396869768_entry_00289_conf_01,-59.366,-47.366,-3.95774,-24.0718,-0.268319,-9.81542,-19.206,-3.49212,1160460,3.08026
ZINC000396869768_entry_00290_conf_01,-58.5854,-46.5854,-3.90569,-23.7552,-0.26479,-9.68635,-18.8895,-3.25474,1135841,2.89
ZINC000575124622_entry_00291_conf_01,-64.0189,-54.0189,-2.78343,-22.5112,-0.197994,-9.3273,-18.9949,-2.56076,1172839,3.53329
