_TITLE1 TOTAL INTER INTRA RESTR VDW
6971258 -22.218 -20.018 -1.095 0.000 -14.858
6713972 -27.233 -28.000 1.223 0.000 -16.239
6420074 -25.281 -21.491 -3.288 0.000 -15.588
6323218 -22.761 -17.929 -4.301 0.000 -14.889
5462244 -19.171 -16.128 -1.926 0.000 -12.524
5317448 -25.233 -18.288 -6.633 0.000 -11.496
5284365 -21.876 -23.717 1.787 0.000 -18.789
4282259 -18.695 -16.599 -1.939 0.000 -15.605
3052142 -7.541 -3.047 -3.373 0.000 -16.542
2801971 -21.137 -18.688 -1.362 0.000 -15.406
2733787 -21.035 -18.944 -2.586 0.000 -17.741
2733335 -25.414 -21.876 -3.493 0.000 -17.182
644170 -24.482 -21.078 -2.382 0.000 -15.044
449462 -22.256 -19.432 -1.841 0.000 -13.319
448882 -16.883 -13.330 -2.434 0.000 -12.496
447448 -32.409 -28.465 -3.450 0.000 -16.696
446101 -18.166 -15.280 -2.370 0.000 -13.670
445621 -27.681 -26.039 -0.605 0.000 -13.660
441477 -27.936 -23.867 -3.059 0.000 -12.527
441038 -24.948 -17.384 -8.139 0.000 -13.208
440552 -19.043 -17.228 -0.891 0.000 -11.878
440271 -22.652 -25.477 3.754 0.000 -20.242
440235 -23.799 -17.516 -5.246 0.000 -14.079
440049 -27.151 -25.963 -0.144 0.000 -12.495
439281 -26.590 -24.385 -2.114 0.000 -15.485
439213 -31.102 -28.986 -1.587 0.000 -13.996
439174 -23.320 -21.014 -2.171 0.000 -13.584
433580 -22.091 -12.880 -8.988 0.000 -9.694
408523 -3.645 -5.622 2.408 0.000 -11.973
312829 -7.024 -5.510 -1.404 0.000 -13.389
254124 -20.441 -18.276 -1.119 0.000 -10.204
202260 -11.793 -7.938 -2.873 0.000 -15.208
198515 -9.214 -7.590 -1.529 0.000 -20.078
198514 -7.394 -4.545 -2.525 0.000 -15.460
193108 -27.034 -24.418 -2.532 0.000 -16.464
129618 -10.228 -8.147 -2.942 0.000 -15.777
127132 -8.525 -7.322 -2.097 0.000 -17.054
122253 -20.363 -15.977 -3.988 0.000 -13.905
118328 -26.533 -19.914 -6.082 0.000 -18.744
112106 -23.978 -21.008 -2.514 0.000 -18.539
102416 -17.661 -15.040 -1.681 0.000 -17.008
99461 -7.586 -2.210 -4.263 0.000 -12.505
96523 -23.672 -21.204 -2.418 0.000 -16.608
90220 -23.370 -17.398 -6.546 0.000 -15.652
84265 -22.959 -18.874 -2.959 0.000 -13.709
82398 -18.074 -14.530 -3.490 0.000 -15.166
82313 -27.944 -26.261 -0.579 0.000 -16.015
35717 -20.997 -19.363 -0.521 0.000 -13.372
29327 -30.120 -26.028 -3.639 0.000 -16.755
24154 -22.921 -20.146 -1.779 0.000 -12.082
24139 -30.564 -28.913 -1.120 0.000 -15.774
18897 -23.583 -23.499 0.861 0.000 -11.186
5300 -19.985 -16.153 -3.601 0.000 -13.318
899 -20.989 -18.097 -1.845 0.000 -13.161
739 -22.308 -19.673 -1.521 0.000 -13.590
ZINC000001471333 -22.086 -23.776 1.100 0.000 -18.349
ZINC000003956714 -20.154 -17.906 -2.678 0.000 -18.832
ZINC000004027857 -19.152 -16.915 -1.194 0.000 -15.835
ZINC000004027859 -19.898 -19.270 0.421 0.000 -18.419
ZINC000012364260 -21.251 -16.463 -3.663 0.000 -18.616
ZINC000013545464 -23.926 -21.206 -3.252 0.000 -17.058
ZINC000015205814 -21.809 -20.946 0.161 0.000 -18.628
ZINC000015205840 -21.256 -19.752 -1.355 0.000 -19.112
ZINC000015205946 -21.513 -19.378 -1.136 0.000 -19.259
ZINC000015205949 -21.303 -20.582 -0.780 0.000 -16.840
ZINC000015205956 -21.108 -17.280 -3.825 0.000 -17.732
ZINC000019893747 -19.256 -12.624 -5.746 0.000 -17.374
ZINC000019898298 -24.093 -23.532 -0.163 0.000 -16.256
ZINC000032106887 -17.999 -15.856 -1.106 0.000 -18.820
ZINC000032106889 -17.647 -17.183 -0.414 0.000 -17.691
ZINC000044021353 -23.432 -24.430 1.175 0.000 -17.077
