REC _TITLE1 TOTAL INTER INTRA RESTR VDW
227 129878031 -12.502 -9.251 -4.987 0.000 -12.998
228 129878031 -11.688 -9.013 -6.075 0.000 -11.814
229 129878031 -10.878 -9.012 -5.767 0.000 -12.143
230 129878031 -14.551 -12.910 -4.871 0.000 -15.465
231 129878031 -15.574 -15.221 -4.226 0.032 -16.696
232 129878031 -15.101 -11.246 -5.608 0.000 -12.026
233 129878031 -12.434 -10.311 -5.252 0.000 -12.424
234 129878031 -8.025 -5.319 -6.609 0.000 -11.642
235 129878031 -15.179 -13.998 -5.087 0.000 -13.773
236 129878031 -14.990 -9.654 -7.076 0.000 -9.512
237 129878031 -10.189 -7.614 -5.706 0.000 -14.384
238 129878031 -6.874 -8.676 -5.731 0.000 -11.403
239 129878031 -17.927 -16.259 -3.415 0.000 -13.819
240 129878031 -15.101 -11.545 -5.296 0.000 -13.640
241 129878031 -8.985 -5.153 -5.574 0.000 -10.553
242 129878031 -6.116 -4.040 -5.643 0.000 -11.142
243 129878031 -7.349 -2.494 -6.599 0.000 -12.174
244 129878031 -14.884 -10.356 -6.274 0.000 -10.533
245 129878031 -15.311 -15.311 -1.743 0.000 -10.640
246 129878031 -3.465 -7.957 -5.112 0.000 -14.399
247 129878031 -13.514 -10.887 -5.044 0.000 -13.476
248 129878031 -17.469 -14.448 -4.774 0.000 -13.099
249 129878031 -13.391 -9.939 -5.186 0.000 -11.364
250 129878031 -16.964 -15.256 -4.962 0.000 -11.316
251 129878031 -15.201 -16.951 -0.017 0.000 -14.769
252 129878031 -12.263 -11.672 -2.339 0.000 -12.336
253 129878031 -11.353 -10.761 -2.355 0.000 -11.444
254 129878031 -14.385 -12.871 -3.252 0.000 -9.346
255 129878031 -6.230 -12.203 -2.223 0.000 -15.206
256 129878031 -12.313 -13.216 -2.347 0.000 -12.651
257 129878031 -4.110 -3.470 -3.775 0.000 -11.595
258 129878031 -11.229 -12.765 -1.700 0.000 -13.787
259 129878031 -3.916 -6.066 -1.639 0.000 -10.196
260 129878031 -6.748 -6.319 -2.169 0.000 -9.611
261 129878031 -6.803 -6.368 -2.821 0.000 -10.299
262 129878031 -12.764 -11.635 -3.543 0.000 -14.289
263 129878031 -9.451 -9.647 -3.639 0.000 -10.070
264 129878031 -10.597 -9.996 -2.995 0.000 -13.490
265 129878031 -4.960 -10.397 -2.758 0.000 -11.371
266 129878031 -11.666 -11.949 -1.466 0.000 -12.961
267 129878031 -8.561 -10.861 -0.980 0.000 -10.859
268 129878031 -8.480 -9.954 -1.923 0.000 -14.614
269 129878031 -7.339 -8.345 -2.303 0.000 -12.992
270 129878031 -11.178 -11.965 -0.999 0.000 -13.340
271 129878031 -3.242 -11.039 -1.233 0.000 -11.113
272 129878031 -7.797 -7.318 -2.218 0.000 -13.240
273 129878031 -10.838 -10.948 -3.028 0.000 -12.354
274 129878031 -6.906 -7.155 -2.883 0.000 -13.868
275 129878031 -8.815 -7.965 -3.253 0.000 -11.928
276 129878031 0.206 -6.107 -3.368 0.000 -13.050
277 129878031 -9.255 -10.544 -2.319 0.000 -9.982
278 129878031 -15.026 -13.654 -5.269 0.000 -13.658
279 129878031 -3.877 -7.202 -0.269 0.000 -13.149
280 129878031 -12.930 -14.418 -0.297 0.000 -11.898
281 129878031 -4.633 -6.568 -1.209 0.000 -11.987
282 129878031 -7.186 -8.168 -1.407 0.000 -10.806
283 129878031 -8.334 -12.999 -4.762 0.000 -15.493
284 129878031 -5.248 -8.006 -1.041 0.000 -13.609
285 129878031 -8.767 -7.829 -3.338 0.000 -13.616
286 129878031 -7.018 -6.454 -2.304 0.000 -13.637
287 129878031 -5.343 -5.484 -2.795 0.000 -8.406
288 129878031 -5.305 -5.935 -3.172 0.000 -10.375
289 129878031 -5.352 -6.489 -2.795 0.000 -11.971
290 129878031 -15.766 -14.675 -3.513 0.000 -14.746
291 129878031 -8.673 -7.641 -2.776 0.000 -9.112
292 129878031 -9.466 -13.347 -0.045 0.000 -14.349
293 129878031 -9.027 -8.995 -3.303 0.000 -13.681
294 129878031 -8.902 -6.178 -5.115 0.000 -12.462
295 129878031 -4.873 -14.188 0.252 0.000 -11.689
296 129878031 -13.094 -12.903 -1.947 0.000 -13.655
297 129878031 -8.387 -8.591 -3.442 0.000 -10.463
298 129878031 -9.603 -11.430 -2.121 0.000 -15.062
299 129878031 -13.267 -13.843 -3.342 0.000 -14.451
300 129878031 -7.245 -6.605 -3.883 0.000 -10.709
301 118707521 -7.507 -9.434 -0.505 0.000 -15.827
302 118707521 -6.428 -11.926 1.559 0.000 -19.487
303 118707521 -12.754 -13.248 -2.692 0.000 -23.764
304 118707521 -10.931 -13.885 -0.945 0.000 -19.445
305 118707521 -9.810 -13.668 -1.035 0.000 -18.022
306 118707521 -11.723 -16.003 1.026 0.000 -23.142
307 118707521 -5.813 -10.755 1.014 0.000 -16.751
308 118707521 -5.985 -13.795 -0.438 0.000 -18.759
309 118707521 -5.193 -15.819 1.075 0.000 -21.847
310 118707521 -6.982 -13.390 -2.527 0.000 -17.356
311 118707521 -13.619 -18.213 1.443 0.000 -22.160
312 118707521 -9.122 -13.610 0.875 0.000 -19.366
313 118707521 -10.151 -13.922 -0.149 0.000 -19.832
314 118707521 -9.967 -12.442 -1.308 0.141 -22.957
315 118707521 -11.432 -11.358 -2.483 0.000 -18.819
316 118707521 -9.849 -14.188 1.915 0.000 -17.336
317 118707521 -3.241 -10.075 -1.813 0.000 -19.401
318 118707521 -8.053 -7.396 -2.414 0.000 -14.945
319 118707521 -3.915 -8.079 0.932 0.000 -18.168
320 118707521 -10.283 -11.095 -3.100 0.000 -20.147
321 118707521 -7.938 -13.816 4.089 0.000 -20.513
322 118707521 -11.953 -12.716 -1.185 0.000 -18.564
323 118707521 -15.767 -15.297 -3.350 0.000 -19.759
324 118707521 -13.454 -16.392 -0.955 0.000 -24.643
325 118707521 -14.686 -16.149 -0.282 0.000 -20.205
326 118707521 -3.972 -11.342 4.092 0.000 -17.755
